"",BBEX3.M.BDT.USD.CA.AB.A01,BBEX3.M.BDT.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Bangladesh / USD 1 = BDT ... (selling),
unit,BDT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:59,
1990-01,32.3100,
1990-02,32.3100,
1990-03,33.9200,
1990-04,34.2600,
1990-05,34.9500,
1990-06,34.9500,
1990-07,34.9500,
1990-08,35.6400,
1990-09,35.7400,
1990-10,35.7400,
1990-11,35.8400,
1990-12,35.8400,
1991-01,35.8400,
1991-02,35.8400,
1991-03,35.8400,
1991-04,35.8400,
1991-05,35.8400,
1991-06,35.8400,
1991-07,36.5400,
1991-08,36.9400,
1991-09,37.7400,
1991-10,37.7400,
1991-11,38.1400,
1991-12,38.6300,
1992-01,38.8500,
1992-02,38.8500,
1992-03,39.0500,
1992-04,39.0500,
1992-05,39.0500,
1992-06,39.0500,
1992-07,39.0500,
1992-08,39.0500,
1992-09,39.0500,
1992-10,39.0500,
1992-11,39.0500,
1992-12,39.0500,
1993-01,39.0500,
1993-02,39.0500,
1993-03,39.0500,
1993-04,39.8500,
1993-05,39.8500,
1993-06,39.8500,
1993-07,39.8000,
1993-08,39.9500,
1993-09,39.9500,
1993-10,39.9500,
1993-11,39.9500,
1993-12,39.9500,
1994-01,40.1700,
1994-02,40.2300,
1994-03,40.3500,
1994-04,40.3500,
1994-05,40.3500,
1994-06,40.3500,
1994-07,40.3500,
1994-08,40.3500,
1994-09,40.3500,
1994-10,40.3500,
1994-11,40.3500,
1994-12,40.3500,
1995-01,40.3500,
1995-02,40.3500,
1995-03,40.2000,
1995-04,40.2000,
1995-05,40.2000,
1995-06,40.2000,
1995-07,40.2000,
1995-08,40.2000,
1995-09,40.3500,
1995-10,40.8500,
1995-11,40.8500,
1995-12,40.8500,
1996-01,41.1000,
1996-02,41.1000,
1996-03,41.1000,
1996-04,41.8500,
1996-05,41.8500,
1996-06,41.8500,
1996-07,42.0000,
1996-08,42.2500,
1996-09,42.5500,
1996-10,42.5500,
1996-11,42.5500,
1996-12,42.5500,
1997-01,42.5500,
1997-02,42.8500,
1997-03,43.3000,
1997-04,43.7500,
1997-05,43.7500,
1997-06,43.7500,
1997-07,44.2000,
1997-08,44.6500,
1997-09,44.6500,
1997-10,45.1500,
1997-11,45.6000,
1997-12,45.6000,
1998-01,45.6000,
1998-02,46.4500,
1998-03,46.4500,
1998-04,46.4500,
1998-05,46.4500,
1998-06,46.4500,
1998-07,47.2500,
1998-08,47.2500,
1998-09,47.2500,
1998-10,48.6500,
1998-11,48.6500,
1998-12,48.6500,
1999-01,48.6500,
1999-02,48.6500,
1999-03,48.6500,
1999-04,48.6500,
1999-05,48.6500,
1999-06,48.6500,
1999-07,49.6500,
1999-08,49.6500,
1999-09,49.6500,
1999-10,49.6500,
1999-11,51.1500,
1999-12,51.1500,
2000-01,51.1500,
2000-02,51.1500,
2000-03,51.1500,
2000-04,51.1500,
2000-05,51.1500,
2000-06,51.1500,
2000-07,51.1500,
2000-08,54.1500,
2000-09,54.1500,
2000-10,54.1500,
2000-11,54.1500,
2000-12,54.1500,
2001-01,54.1500,
2001-02,54.1500,
2001-03,54.1500,
2001-04,54.1500,
2001-05,57.5000,
2001-06,57.5000,
2001-07,57.5000,
2001-08,57.5000,
2001-09,57.5000,
2001-10,57.5000,
2001-11,57.5000,
2001-12,57.5000,
2002-01,58.4000,
2002-02,58.4000,
2002-03,58.4000,
2002-04,58.4000,
2002-05,58.4000,
2002-06,58.4000,
2002-07,58.4000,
2002-08,58.4000,
2002-09,58.4000,
2002-10,58.4000,
2002-11,58.4000,
2002-12,58.4000,
2003-01,58.4000,
2003-02,58.4000,
2003-03,58.4000,
2003-04,58.4000,
2003-05,58.4000,
2003-06,58.8000,
2003-07,58.7500,
2003-08,58.7500,
2003-09,58.7300,
2003-10,58.7300,
2003-11,58.7300,
2003-12,59.1500,
2004-01,59.1500,
2004-02,59.2500,
2004-03,59.3000,
2004-04,59.4500,
2004-05,61.9000,
2004-06,61.8000,
2004-07,60.4500,
2004-08,59.6500,
2004-09,59.8500,
2004-10,60.2500,
2004-11,60.5500,
2004-12,61.7500,
2005-01,63.7000,
2005-02,64.1000,
2005-03,63.9500,
2005-04,64.0700,
2005-05,64.3200,
2005-06,65.1200,
2005-07,67.0700,
2005-08,66.9600,
2005-09,66.7700,
2005-10,66.5500,
2005-11,67.3200,
2005-12,68.1200,
2006-01,69.2200,
2006-02,71.3500,
2006-03,71.9200,
2006-04,70.2700,
2006-05,70.5200,
2006-06,70.5200,
2006-07,70.3200,
2006-08,70.1200,
2006-09,67.9700,
2006-10,68.9200,
2006-11,68.9700,
2006-12,69.5700,
2007-01,69.5700,
2007-02,69.3700,
2007-03,69.0700,
2007-04,69.7200,
2007-05,69.2200,
2007-06,69.1700,
2007-07,68.7000,
2007-08,69.2000,
2007-09,69.5700,
2007-10,69.3700,
2007-11,69.2000,
2007-12,68.9700,
2008-01,69.5000,
2008-02,69.1700,
2008-03,69.1700,
2008-04,69.0700,
2008-05,68.8700,
2008-06,69.1200,
2008-07,69.0200,
2008-08,69.1700,
2008-09,68.9200,
2008-10,69.4700,
2008-11,69.3200,
2008-12,69.4200,
2009-01,69.3200,
2009-02,69.3200,
2009-03,69.4700,
2009-04,69.4700,
2009-05,69.4200,
2009-06,69.4200,
2009-07,69.3900,
2009-08,69.3900,
2009-09,69.3900,
2009-10,69.5700,
2009-11,69.4700,
2009-12,69.6200,
2010-01,69.5200,
2010-02,69.5700,
2010-03,69.5900,
2010-04,69.6200,
2010-05,69.6400,
2010-06,69.7700,
2010-07,69.7200,
2010-08,69.8930,
2010-09,70.8445,
2010-10,71.0925,
2010-11,70.8145,
2010-12,71.3605,
2011-01,73.4055,
2011-02,73.2155,
2011-03,73.2879,
2011-04,74.2655,
2011-05,74.5155,
2011-06,75.2745,
2011-07,74.9744,
2011-08,74.3744,
2011-09,76.0744,
2011-10,76.3245,
2011-11,79.0245,
2011-12,82.3745,
2012-01,85.5745,
2012-02,82.7245,
2012-03,82.2245,
2012-04,82.2245,
2012-05,82.3245,
2012-06,82.2745,
2012-07,82.1725,
2012-08,82.2725,
2012-09,82.2400,
2012-10,81.7400,
2012-11,82.0900,
2012-12,80.3400,
2013-01,79.6900,
2013-02,79.3900,
2013-03,78.5900,
2013-04,78.0400,
2013-05,78.0900,
2013-06,77.9900,
2013-07,78.0400,
2013-08,78.1400,
2013-09,78.2900,
2013-10,78.2400,
2013-11,78.1400,
2013-12,78.2400,
2014-01,78.2400,
2014-02,78.1900,
2014-03,78.1900,
2014-04,78.0900,
2014-05,78.0900,
2014-06,78.0900,
2014-07,78.0900,
2014-08,77.8900,
2014-09,77.7400,
2014-10,77.7400,
2014-11,79.2900,
2014-12,78.9400,
2015-01,78.2900,
"","General: Units of account for larger amounts: 1 lakh (in digits: 1,00,000) = 100,000 taka; 1 crore (in digits: 1,00,00,000) = 100 lakh = 10,000,000 taka.",
"","Source: Since August 2010: The Hongkong and Shanghai Banking Corporation Limited, Dhaka. June 2003 - July 2010: Standard Chartered Bank, Dhaka. January 1990 - May 2003: Bangladesh Bank, Dhaka.",
