"",BBFN1.M.DE.N.1.A.PK.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PK.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Pakistan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:18,
1994-12,0.225,
1995-01,0.212,
1995-02,0.213,
1995-03,0.205,
1995-04,0.193,
1995-05,0.213,
1995-06,0.218,
1995-07,0.196,
1995-08,0.192,
1995-09,0.209,
1995-10,0.208,
1995-11,0.216,
1995-12,0.225,
1996-01,0.224,
1996-02,0.215,
1996-03,0.240,
1996-04,0.249,
1996-05,0.245,
1996-06,0.246,
1996-07,0.218,
1996-08,0.219,
1996-09,0.231,
1996-10,0.218,
1996-11,0.208,
1996-12,0.200,
1997-01,0.198,
1997-02,0.198,
1997-03,0.201,
1997-04,0.205,
1997-05,0.217,
1997-06,0.221,
1997-07,0.226,
1997-08,0.303,
1997-09,0.298,
1997-10,0.291,
1997-11,0.298,
1997-12,0.305,
1998-01,0.209,
1998-02,0.216,
1998-03,0.273,
1998-04,0.254,
1998-05,0.242,
1998-06,0.232,
1998-07,0.256,
1998-08,0.257,
1998-09,0.256,
1998-10,0.248,
1998-11,0.254,
1998-12,0.255,
1999-01,0.243,
1999-02,0.239,
1999-03,0.223,
1999-04,0.203,
1999-05,0.177,
1999-06,0.197,
1999-07,0.201,
1999-08,0.186,
1999-09,0.185,
1999-10,0.157,
1999-11,0.185,
1999-12,0.182,
2000-01,0.206,
2000-02,0.199,
2000-03,0.211,
2000-04,0.212,
2000-05,0.208,
2000-06,0.210,
2000-07,0.228,
2000-08,0.227,
2000-09,0.228,
2000-10,0.188,
2000-11,0.177,
2000-12,0.191,
2001-01,0.175,
2001-02,0.176,
2001-03,0.176,
2001-04,0.178,
2001-05,0.170,
2001-06,0.177,
2001-07,0.132,
2001-08,0.178,
2001-09,0.179,
2001-10,0.162,
2001-11,0.152,
2001-12,0.155,
2002-01,0.153,
2002-02,0.177,
2002-03,0.151,
2002-04,0.133,
2002-05,0.165,
2002-06,0.144,
2002-07,0.147,
2002-08,0.158,
2002-09,0.152,
2002-10,0.151,
2002-11,0.145,
2002-12,0.144,
2003-01,0.142,
2003-02,0.149,
2003-03,0.140,
2003-04,0.142,
2003-05,0.149,
2003-06,0.149,
2003-07,0.147,
2003-08,0.141,
2003-09,0.145,
2003-10,0.181,
2003-11,0.179,
2003-12,0.180,
2004-01,0.175,
2004-02,0.172,
2004-03,0.176,
2004-04,0.181,
2004-05,0.186,
2004-06,0.197,
2004-07,0.188,
2004-08,0.208,
2004-09,0.191,
2004-10,0.208,
2004-11,0.211,
2004-12,0.217,
2005-01,0.217,
2005-02,0.225,
2005-03,0.242,
2005-04,0.242,
2005-05,0.247,
2005-06,0.246,
2005-07,0.239,
2005-08,0.278,
2005-09,0.300,
2005-10,0.299,
2005-11,0.251,
2005-12,0.271,
2006-01,0.249,
2006-02,0.289,
2006-03,0.275,
2006-04,0.274,
2006-05,0.273,
2006-06,0.200,
2006-07,0.256,
2006-08,0.264,
2006-09,0.300,
2006-10,0.321,
2006-11,0.290,
2006-12,0.332,
2007-01,0.303,
2007-02,0.313,
2007-03,0.303,
2007-04,0.275,
2007-05,0.297,
2007-06,0.261,
2007-07,0.283,
2007-08,0.323,
2007-09,0.320,
2007-10,0.283,
2007-11,0.294,
2007-12,0.311,
2008-01,0.268,
2008-02,0.296,
2008-03,0.295,
2008-04,0.302,
2008-05,0.287,
2008-06,0.270,
2008-07,0.304,
2008-08,0.323,
2008-09,0.304,
2008-10,0.295,
2008-11,0.365,
2008-12,0.325,
2009-01,0.320,
2009-02,0.305,
2009-03,0.329,
2009-04,0.395,
2009-05,0.389,
2009-06,0.448,
2009-07,0.373,
2009-08,0.378,
2009-09,0.402,
2009-10,0.414,
2009-11,0.408,
2009-12,0.408,
2010-01,0.390,
2010-02,0.395,
2010-03,0.425,
2010-04,0.408,
2010-05,0.421,
2010-06,0.443,
2010-07,0.432,
2010-08,0.432,
2010-09,0.417,
2010-10,0.417,
2010-11,0.421,
2010-12,0.428,
2011-01,0.412,
2011-02,0.415,
2011-03,0.396,
2011-04,0.397,
2011-05,0.399,
2011-06,0.391,
2011-07,0.388,
2011-08,0.383,
2011-09,0.397,
2011-10,0.372,
2011-11,0.392,
2011-12,0.359,
2012-01,0.358,
2012-02,0.355,
2012-03,0.358,
2012-04,0.339,
2012-05,0.346,
2012-06,0.309,
2012-07,0.299,
2012-08,0.289,
2012-09,0.288,
2012-10,0.286,
2012-11,0.338,
2012-12,0.326,
2013-01,0.336,
2013-02,0.326,
2013-03,0.328,
2013-04,0.321,
2013-05,0.351,
2013-06,0.337,
2013-07,0.312,
2013-08,0.333,
2013-09,0.325,
2013-10,0.317,
2013-11,0.302,
2013-12,0.318,
2014-01,0.293,
2014-02,0.306,
2014-03,0.306,
2014-04,0.297,
2014-05,0.301,
2014-06,0.296,
2014-07,0.299,
2014-08,0.304,
2014-09,0.313,
2014-10,0.301,
2014-11,0.292,
2014-12,0.283,
