"",BBK01.OEAD26H,BBK01.OEAD26H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:52,
2002-01,0.668,
2002-04,0.735,
2002-07,0.516,
2002-10,0.534,
2003-01,0.650,
2003-04,0.618,
2003-07,0.590,
2003-10,0.635,
2004-01,0.614,
2004-04,0.570,
2004-07,0.597,
2004-10,0.430,
2005-01,0.446,
2005-04,0.418,
2005-07,0.426,
2005-10,0.414,
2006-01,0.369,
2006-04,0.414,
2006-07,0.463,
2006-10,0.491,
2007-01,0.456,
2007-04,0.511,
2007-07,0.547,
2007-10,0.488,
2008-01,0.873,
2008-04,0.893,
2008-07,0.951,
2008-10,2.202,
2009-01,2.072,
2009-04,3.563,
2009-07,3.573,
2009-10,3.948,
2010-01,3.435,
2010-04,3.298,
2010-07,3.236,
2010-10,2.298,
2011-01,3.244,
2011-04,2.743,
2011-07,2.797,
2011-10,3.085,
2012-01,1.876,
2012-04,1.890,
2012-07,1.628,
2012-10,1.904,
2013-01,2.113,
2013-04,1.750,
2013-07,1.658,
2013-10,1.636,
2014-01,1.560,
2014-04,1.563,
2014-07,1.543,
