"",BBK01.OELB17L,BBK01.OELB17L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:00,
2002-01,17.284,
2002-04,17.403,
2002-07,17.518,
2002-10,17.509,
2003-01,17.380,
2003-04,17.429,
2003-07,17.633,
2003-10,17.800,
2004-01,17.832,
2004-04,18.019,
2004-07,18.165,
2004-10,18.407,
2005-01,18.302,
2005-04,18.393,
2005-07,18.538,
2005-10,18.677,
2006-01,18.737,
2006-04,18.862,
2006-07,18.987,
2006-10,18.887,
2007-01,18.775,
2007-04,18.731,
2007-07,18.772,
2007-10,18.813,
2008-01,18.756,
2008-04,18.773,
2008-07,18.900,
2008-10,18.915,
2009-01,18.847,
2009-04,18.964,
2009-07,19.145,
2009-10,19.216,
2010-01,19.179,
2010-04,19.262,
2010-07,19.397,
2010-10,19.488,
2011-01,19.510,
2011-04,19.648,
2011-07,19.771,
2011-10,19.850,
2012-01,19.871,
2012-04,20.246,
2012-07,20.440,
2012-10,20.618,
2013-01,20.612,
2013-04,20.737,
2013-07,21.016,
2013-10,21.118,
2014-01,21.170,
2014-04,21.342,
2014-07,21.637,
