"",BBK01.OEYL07K,BBK01.OEYL07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:33,
2002-01,0.144,
2002-04,0.132,
2002-07,0.128,
2002-10,0.132,
2003-01,0.135,
2003-04,0.134,
2003-07,0.067,
2003-10,0.014,
2004-01,0.013,
2004-04,0.142,
2004-07,0.133,
2004-10,0.128,
2005-01,0.096,
2005-04,0.084,
2005-07,0.073,
2005-10,0.068,
2006-01,0.078,
2006-04,0.077,
2006-07,0.073,
2006-10,0.072,
2007-01,0.070,
2007-04,0.071,
2007-07,0.067,
2007-10,0.066,
2008-01,0.065,
2008-04,0.065,
2008-07,0.061,
2008-10,0.067,
2009-01,0.063,
2009-04,0.063,
2009-07,0.071,
2009-10,0.073,
2010-01,0.072,
2010-04,0.068,
2010-07,0.068,
2010-10,0.067,
2011-01,0.065,
2011-04,0.061,
2011-07,0.063,
2011-10,0.061,
2012-01,0.059,
2012-04,0.060,
2012-07,0.060,
2012-10,0.061,
2013-01,0.065,
2013-04,0.065,
2013-07,0.057,
2013-10,0.044,
2014-01,0.040,
2014-04,0.039,
2014-07,0.039,
