"",BBFN1.M.DE.N.1.L.US.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.US.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1982-03,0.604,
1982-04,0.542,
1982-05,0.481,
1982-06,0.570,
1982-07,0.629,
1982-08,0.664,
1982-09,0.775,
1982-10,0.721,
1982-11,0.790,
1982-12,0.674,
1983-01,0.823,
1983-02,0.818,
1983-03,0.676,
1983-04,0.706,
1983-05,0.661,
1983-06,0.680,
1983-07,0.832,
1983-08,0.834,
1983-09,0.692,
1983-10,0.672,
1983-11,0.819,
1983-12,0.789,
1984-01,0.778,
1984-02,0.640,
1984-03,0.684,
1984-04,0.617,
1984-05,0.718,
1984-06,0.828,
1984-07,0.869,
1984-08,0.812,
1984-09,0.772,
1984-10,0.802,
1984-11,0.716,
1984-12,0.537,
1985-01,0.704,
1985-02,0.880,
1985-03,0.610,
1985-04,0.692,
1985-05,0.675,
1985-06,0.784,
1985-07,0.801,
1985-08,0.777,
1985-09,0.688,
1985-10,0.567,
1985-11,0.613,
1985-12,0.489,
1986-01,0.391,
1986-02,0.487,
1986-03,0.393,
1986-04,0.448,
1986-05,0.433,
1986-06,0.424,
1986-07,0.417,
1986-08,0.360,
1986-09,0.416,
1986-10,0.518,
1986-11,0.520,
1986-12,0.420,
1987-01,0.417,
1987-02,0.415,
1987-03,0.396,
1987-04,0.300,
1987-05,0.308,
1987-06,0.285,
1987-07,0.283,
1987-08,0.254,
1987-09,0.216,
1987-10,0.212,
1987-11,0.191,
1987-12,0.196,
1988-01,0.207,
1988-02,0.242,
1988-03,0.247,
1988-04,0.242,
1988-05,0.261,
1988-06,0.266,
1988-07,0.343,
1988-08,0.308,
1988-09,0.303,
1988-10,0.274,
1988-11,0.283,
1988-12,0.269,
1989-01,0.289,
1989-02,0.332,
1989-03,0.312,
1989-04,0.333,
1989-05,0.395,
1989-06,0.410,
1989-07,0.343,
1989-08,0.416,
1989-09,0.608,
1989-10,0.585,
1989-11,0.573,
1989-12,0.638,
1990-01,0.756,
1990-02,0.776,
1990-03,0.774,
1990-04,0.801,
1990-05,0.763,
1990-06,0.340,
1990-07,0.335,
1990-08,0.373,
1990-09,0.327,
1990-10,0.312,
1990-11,0.397,
1990-12,0.581,
1991-01,0.617,
1991-02,0.698,
1991-03,0.744,
1991-04,0.750,
1991-05,0.710,
1991-06,0.672,
1991-07,0.707,
1991-08,0.713,
1991-09,0.590,
1991-10,0.646,
1991-11,0.648,
1991-12,0.672,
1992-01,0.593,
1992-02,0.665,
1992-03,0.673,
1992-04,0.734,
1992-05,0.654,
1992-06,0.658,
1992-07,0.380,
1992-08,0.395,
1992-09,0.466,
1992-10,0.551,
1992-11,0.442,
1992-12,0.462,
1993-01,0.374,
1993-02,0.335,
1993-03,0.333,
1993-04,0.307,
1993-05,0.552,
1993-06,0.446,
1993-07,0.434,
1993-08,0.477,
1993-09,0.484,
1993-10,0.456,
1993-11,0.441,
1993-12,0.458,
1994-01,0.477,
1994-02,0.532,
1994-03,0.802,
1994-04,0.598,
1994-05,0.628,
1994-06,0.536,
1994-07,0.559,
1994-08,0.473,
1994-09,0.429,
1994-10,0.519,
1994-11,0.416,
1994-12,0.422,
1995-01,0.502,
1995-02,0.701,
1995-03,0.637,
1995-04,0.695,
1995-05,0.666,
1995-06,0.588,
1995-07,0.653,
1995-08,0.661,
1995-09,0.654,
1995-10,0.811,
1995-11,0.635,
1995-12,0.630,
1996-01,0.770,
1996-02,0.785,
1996-03,0.856,
1996-04,1.065,
1996-05,1.665,
1996-06,1.530,
1996-07,0.635,
1996-08,0.818,
1996-09,0.555,
1996-10,1.084,
1996-11,0.628,
1996-12,0.623,
1997-01,0.843,
1997-02,0.700,
1997-03,0.772,
1997-04,0.820,
1997-05,0.946,
1997-06,2.026,
1997-07,2.521,
1997-08,0.992,
1997-09,0.844,
1997-10,0.936,
1997-11,1.000,
1997-12,1.020,
1998-01,1.053,
1998-02,1.055,
1998-03,0.985,
1998-04,0.914,
1998-05,1.042,
1998-06,1.095,
1998-07,1.753,
1998-08,1.215,
1998-09,1.004,
1998-10,0.961,
1998-11,0.986,
1998-12,1.110,
1999-01,1.788,
1999-02,1.890,
1999-03,1.854,
1999-04,1.715,
1999-05,1.925,
1999-06,1.813,
1999-07,1.800,
1999-08,1.861,
1999-09,1.755,
1999-10,1.863,
1999-11,1.559,
1999-12,1.608,
2000-01,1.602,
2000-02,1.761,
2000-03,1.903,
2000-04,2.121,
2000-05,1.953,
2000-06,1.565,
2000-07,1.906,
2000-08,1.461,
2000-09,1.394,
2000-10,1.336,
2000-11,1.356,
2000-12,1.536,
2001-01,1.626,
2001-02,1.589,
2001-03,2.623,
2001-04,2.627,
2001-05,2.260,
2001-06,2.235,
2001-07,2.206,
2001-08,1.659,
2001-09,1.657,
2001-10,1.393,
2001-11,1.448,
2001-12,1.249,
2002-01,0.718,
2002-02,1.002,
2002-03,1.074,
2002-04,0.965,
2002-05,1.039,
2002-06,0.670,
2002-07,0.631,
2002-08,0.594,
2002-09,0.606,
2002-10,0.676,
2002-11,0.625,
2002-12,0.652,
2003-01,0.718,
2003-02,0.744,
2003-03,0.598,
2003-04,0.599,
2003-05,0.591,
2003-06,0.345,
2003-07,0.404,
2003-08,0.370,
2003-09,0.380,
2003-10,0.411,
2003-11,0.414,
2003-12,0.421,
2004-01,1.247,
2004-02,1.258,
2004-03,1.408,
2004-04,0.675,
2004-05,0.688,
2004-06,0.742,
2004-07,0.635,
2004-08,0.655,
2004-09,0.748,
2004-10,0.716,
2004-11,0.841,
2004-12,0.828,
2005-01,0.832,
2005-02,0.691,
2005-03,0.798,
2005-04,0.592,
2005-05,0.603,
2005-06,0.626,
2005-07,0.670,
2005-08,0.631,
2005-09,0.709,
2005-10,0.625,
2005-11,0.610,
2005-12,0.894,
2006-01,0.835,
2006-02,0.758,
2006-03,0.685,
2006-04,0.677,
2006-05,0.661,
2006-06,0.873,
2006-07,0.838,
2006-08,0.886,
2006-09,0.859,
2006-10,0.743,
2006-11,0.728,
2006-12,0.664,
2007-01,0.571,
2007-02,0.539,
2007-03,0.592,
2007-04,0.570,
2007-05,0.570,
2007-06,0.544,
2007-07,0.555,
2007-08,0.549,
2007-09,0.523,
2007-10,0.537,
2007-11,0.502,
2007-12,0.970,
2008-01,0.636,
2008-02,0.616,
2008-03,0.666,
2008-04,0.635,
2008-05,0.837,
2008-06,1.069,
2008-07,0.645,
2008-08,0.514,
2008-09,0.582,
2008-10,0.609,
2008-11,0.643,
2008-12,0.663,
2009-01,0.744,
2009-02,0.786,
2009-03,0.736,
2009-04,0.669,
2009-05,0.886,
2009-06,0.678,
2009-07,0.661,
2009-08,0.632,
2009-09,0.633,
2009-10,0.607,
2009-11,0.586,
2009-12,0.552,
2010-01,0.399,
2010-02,0.413,
2010-03,0.418,
2010-04,0.422,
2010-05,0.434,
2010-06,0.414,
2010-07,0.382,
2010-08,0.392,
2010-09,0.436,
2010-10,0.435,
2010-11,0.482,
2010-12,0.532,
2011-01,0.545,
2011-02,0.608,
2011-03,0.541,
2011-04,0.634,
2011-05,0.537,
2011-06,0.865,
2011-07,1.139,
2011-08,0.916,
2011-09,0.527,
2011-10,0.463,
2011-11,0.559,
2011-12,0.587,
2012-01,0.540,
2012-02,0.483,
2012-03,0.529,
2012-04,0.616,
2012-05,1.060,
2012-06,0.922,
2012-07,0.819,
2012-08,0.704,
2012-09,0.677,
2012-10,0.600,
2012-11,0.492,
2012-12,0.493,
2013-01,0.384,
2013-02,0.367,
2013-03,0.426,
2013-04,0.317,
2013-05,0.255,
2013-06,0.381,
2013-07,0.257,
2013-08,0.260,
2013-09,0.426,
2013-10,0.415,
2013-11,0.232,
2013-12,0.458,
2014-01,0.258,
2014-02,0.252,
2014-03,0.320,
2014-04,0.294,
2014-05,0.637,
2014-06,0.658,
2014-07,0.562,
2014-08,0.598,
2014-09,0.246,
2014-10,0.293,
2014-11,0.294,
2014-12,0.275,
