"",BBK01.OEAF23P,BBK01.OEAF23P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:15,
2002-01,0.266,
2002-04,0.252,
2002-07,0.251,
2002-10,0.240,
2003-01,0.233,
2003-04,0.229,
2003-07,0.241,
2003-10,0.239,
2004-01,0.234,
2004-04,0.236,
2004-07,0.231,
2004-10,0.223,
2005-01,0.221,
2005-04,0.216,
2005-07,0.219,
2005-10,0.213,
2006-01,0.215,
2006-04,0.213,
2006-07,0.221,
2006-10,0.217,
2007-01,0.211,
2007-04,0.206,
2007-07,0.203,
2007-10,0.194,
2008-01,0.181,
2008-04,0.169,
2008-07,0.166,
2008-10,0.164,
2009-01,0.167,
2009-04,0.163,
2009-07,0.161,
2009-10,0.155,
2010-01,0.156,
2010-04,0.137,
2010-07,0.159,
2010-10,0.161,
2011-01,0.164,
2011-04,0.169,
2011-07,0.180,
2011-10,0.184,
2012-01,0.193,
2012-04,0.201,
2012-07,0.208,
2012-10,0.217,
2013-01,0.224,
2013-04,0.222,
2013-07,0.219,
2013-10,0.211,
2014-01,0.208,
2014-04,0.208,
2014-07,0.204,
