"",BBFB1.Q.N.DE.W1.S13.S1.T.A.FA.O.F89.T._T._X.N,BBFB1.Q.N.DE.W1.S13.S1.T.A.FA.O.F89.T._T._X.N_FLAGS
"","Assets (Net Acquisition of) / Financial account / Other accounts receivable/payable, excluding trade credits and advances / Rest of the World / General government / Other Investment",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:54,
1991-01,128.942,
1991-04,209.934,
1991-07,139.183,
1991-10,40.975,
1992-01,-378.417,
1992-04,139.871,
1992-07,116.474,
1992-10,319.120,
1993-01,-614.254,
1993-04,136.366,
1993-07,154.269,
1993-10,47.554,
1994-01,-537.823,
1994-04,213.080,
1994-07,303.968,
1994-10,-222.690,
1995-01,-254.127,
1995-04,123.431,
1995-07,138.559,
1995-10,398.777,
1996-01,-363.307,
1996-04,151.163,
1996-07,-215.120,
1996-10,-93.511,
1997-01,123.819,
1997-04,214.136,
1997-07,-210.881,
1997-10,297.874,
1998-01,200.604,
1998-04,-210.270,
1998-07,1215.698,
1998-10,-14.486,
1999-01,42.649,
1999-04,138.482,
1999-07,174.769,
1999-10,-839.809,
2000-01,77.631,
2000-04,49.709,
2000-07,127.267,
2000-10,-812.633,
2001-01,172.399,
2001-04,66.267,
2001-07,131.844,
2001-10,-136.108,
2002-01,-222.712,
2002-04,170.698,
2002-07,47.626,
2002-10,-320.314,
2003-01,-280.443,
2003-04,88.442,
2003-07,80.538,
2003-10,-213.602,
2004-01,-12.925,
2004-04,231.050,
2004-07,-107.420,
2004-10,-690.026,
2005-01,259.920,
2005-04,260.955,
2005-07,86.289,
2005-10,-151.641,
2006-01,173.473,
2006-04,94.182,
2006-07,69.692,
2006-10,-20.424,
2007-01,-464.459,
2007-04,150.132,
2007-07,15.864,
2007-10,72.108,
2008-01,-136.638,
2008-04,132.920,
2008-07,-0.506,
2008-10,-473.675,
2009-01,339.864,
2009-04,366.369,
2009-07,1.844,
2009-10,5.119,
2010-01,-648.306,
2010-04,-9.121,
2010-07,-40.776,
2010-10,-102.565,
2011-01,-554.949,
2011-04,-182.645,
2011-07,-3.075,
2011-10,-645.148,
2012-01,-171.381,
2012-04,-37.701,
2012-07,-3.075,
2012-10,-609.770,
2013-01,-209.807,
2013-04,3.668,
2013-07,-17.155,
2013-10,-613.478,
2014-01,-19.437,
2014-04,-1.942,
2014-07,-45.642,
