"",BBK01.OEAC58R,BBK01.OEAC58R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:58,
2002-01,1.498,
2002-04,1.485,
2002-07,1.490,
2002-10,1.520,
2003-01,1.446,
2003-04,1.438,
2003-07,1.008,
2003-10,0.999,
2004-01,1.006,
2004-04,0.971,
2004-07,0.971,
2004-10,0.957,
2005-01,0.919,
2005-04,0.917,
2005-07,0.927,
2005-10,0.928,
2006-01,0.946,
2006-04,0.976,
2006-07,1.001,
2006-10,1.045,
2007-01,1.076,
2007-04,1.077,
2007-07,1.050,
2007-10,1.069,
2008-01,1.008,
2008-04,1.009,
2008-07,0.987,
2008-10,0.961,
2009-01,0.919,
2009-04,0.860,
2009-07,0.873,
2009-10,0.874,
2010-01,0.825,
2010-04,0.831,
2010-07,0.827,
2010-10,0.898,
2011-01,0.882,
2011-04,0.884,
2011-07,0.896,
2011-10,0.868,
2012-01,0.841,
2012-04,0.914,
2012-07,0.935,
2012-10,0.995,
2013-01,0.967,
2013-04,0.992,
2013-07,1.018,
2013-10,1.047,
2014-01,1.055,
2014-04,1.069,
2014-07,1.067,
