"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.CZ.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.CZ.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Czech Republic / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:45,
2009-09,274,
2009-10,275,
2009-11,281,
2009-12,295,
2010-01,282,
2010-02,328,
2010-03,328,
2010-04,326,
2010-05,350,
2010-06,350,
2010-07,356,
2010-08,359,
2010-09,475,
2010-10,486,
2010-11,480,
2010-12,476,
2011-01,482,
2011-02,446,
2011-03,438,
2011-04,459,
2011-05,391,
2011-06,442,
2011-07,446,
2011-08,496,
2011-09,519,
2011-10,521,
2011-11,513,
2011-12,526,
2012-01,535,
2012-02,739,
2012-03,820,
2012-04,841,
2012-05,860,
2012-06,893,
2012-07,911,
2012-08,894,
2012-09,880,
2012-10,1073,
2012-11,1099,
2012-12,1100,
2013-01,1057,
2013-02,988,
2013-03,987,
2013-04,1009,
2013-05,998,
2013-06,964,
2013-07,952,
2013-08,919,
2013-09,865,
2013-10,837,
2013-11,811,
2013-12,816,
2014-01,812,
2014-02,806,
2014-03,806,
2014-04,799,
2014-05,755,
2014-06,740,
2014-07,733,
2014-08,722,
2014-09,713,
2014-10,714,
2014-11,690,
