"",BBK01.OEAC45M,BBK01.OEAC45M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:21,
2002-01,0.430,
2002-04,0.420,
2002-07,0.408,
2002-10,0.406,
2003-01,0.399,
2003-04,0.390,
2003-07,0.399,
2003-10,0.393,
2004-01,0.372,
2004-04,0.363,
2004-07,0.359,
2004-10,0.355,
2005-01,0.330,
2005-04,0.322,
2005-07,0.327,
2005-10,0.328,
2006-01,0.329,
2006-04,0.335,
2006-07,0.329,
2006-10,0.321,
2007-01,0.317,
2007-04,0.316,
2007-07,0.320,
2007-10,0.320,
2008-01,0.327,
2008-04,0.324,
2008-07,0.328,
2008-10,0.320,
2009-01,0.315,
2009-04,0.316,
2009-07,0.337,
2009-10,0.320,
2010-01,0.329,
2010-04,0.327,
2010-07,0.331,
2010-10,0.330,
2011-01,0.321,
2011-04,0.320,
2011-07,0.321,
2011-10,0.321,
2012-01,0.327,
2012-04,0.356,
2012-07,0.371,
2012-10,0.344,
2013-01,0.354,
2013-04,0.385,
2013-07,0.414,
2013-10,0.427,
2014-01,0.373,
2014-04,0.390,
2014-07,0.400,
