"",BBK01.OEYM02O,BBK01.OEYM02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:39,
2002-01,0.029,
2002-04,0.020,
2002-07,0.084,
2002-10,0.012,
2003-01,0.044,
2003-04,0.026,
2003-07,0.023,
2003-10,0.025,
2004-01,0.077,
2004-04,0.107,
2004-07,0.038,
2004-10,0.038,
2005-01,0.061,
2005-04,0.065,
2005-07,0.088,
2005-10,0.148,
2006-01,0.104,
2006-04,0.037,
2006-07,0.047,
2006-10,0.099,
2007-01,0.102,
2007-04,0.162,
2007-07,0.170,
2007-10,0.102,
2008-01,0.038,
2008-04,0.124,
2008-07,0.041,
2008-10,0.004,
2009-01,0.062,
2009-04,0.003,
2009-07,0.067,
2009-10,0.084,
2010-01,0.076,
2010-04,0.179,
2010-07,0.407,
2010-10,0.418,
2011-01,0.466,
2011-04,0.520,
2011-07,0.176,
2011-10,0.393,
2012-01,0.366,
2012-04,0.364,
2012-07,0.060,
2012-10,0.591,
2013-01,0.218,
2013-04,0.198,
2013-07,0.248,
2013-10,0.174,
2014-01,0.198,
2014-04,0.232,
2014-07,0.248,
