"",BBK01.OEYJ10N,BBK01.OEYJ10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:06:30,
2002-01,0.298,
2002-04,0.312,
2002-07,0.293,
2002-10,0.286,
2003-01,0.278,
2003-04,0.298,
2003-07,0.298,
2003-10,0.276,
2004-01,0.279,
2004-04,0.279,
2004-07,0.273,
2004-10,0.266,
2005-01,0.226,
2005-04,0.219,
2005-07,0.216,
2005-10,0.206,
2006-01,0.206,
2006-04,0.199,
2006-07,0.198,
2006-10,0.192,
2007-01,0.190,
2007-04,0.184,
2007-07,0.183,
2007-10,0.177,
2008-01,0.163,
2008-04,0.159,
2008-07,0.159,
2008-10,0.156,
2009-01,0.155,
2009-04,0.152,
2009-07,0.152,
2009-10,0.465,
2010-01,0.147,
2010-04,0.026,
2010-07,0.027,
2010-10,0.025,
2011-01,0.023,
2011-04,0.023,
2011-07,0.022,
2011-10,0.022,
2012-01,0.016,
2012-04,0.015,
2012-07,0.013,
2012-10,0.224,
2013-01,0.222,
2013-04,0.222,
2013-07,0.222,
2013-10,0.221,
2014-01,0.223,
2014-04,0.223,
2014-07,0.223,
