"",BBEX3.M.USD.GBP.CA.AC.A02,BBEX3.M.USD.GBP.CA.AC.A02_FLAGS
"",Exchange rates (closing) for the pound sterling in the United States / GBP 1 = USD ... (middle),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:54,
2011-08,1.63603,
2011-09,1.57771,
2011-10,1.57726,
2011-11,1.57992,
2011-12,1.55875,
2012-01,1.55229,
2012-02,1.58053,
2012-03,1.58300,
2012-04,1.60166,
2012-05,1.59091,
2012-06,1.55557,
2012-07,1.55997,
2012-08,1.57178,
2012-09,1.61129,
2012-10,1.60725,
2012-11,1.59646,
2012-12,1.61469,
2013-01,1.59728,
2013-02,1.54871,
2013-03,1.50811,
2013-04,1.53094,
2013-05,1.51830,
2013-06,1.54954,
2013-07,1.51858,
2013-08,1.55056,
2013-09,1.58759,
2013-10,1.60899,
2013-11,1.61109,
2013-12,1.63831,
2014-01,1.64744,
2014-02,1.65670,
2014-03,1.66171,
2014-04,1.67480,
2014-05,1.68410,
2014-06,1.69166,
2014-07,1.70751,
2014-08,1.67001,
2014-09,1.63042,
2014-10,1.60771,
2014-11,1.57740,
2014-12,1.56307,
2015-01,1.51591,
"","General: From 1980 to 1982, we only have data on selling rates; see BBEX2:M:USD:GBP:CA:AB:A02.",
"",Source: Thomson Reuters (until March 2008 Reuters),
"",Methodology: Calculated on the basis of daily buying and selling rates.,
