"",BBK01.OEAF26H,BBK01.OEAF26H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:28,
2002-01,5.060,
2002-04,5.183,
2002-07,5.266,
2002-10,5.173,
2003-01,5.233,
2003-04,5.203,
2003-07,5.290,
2003-10,5.287,
2004-01,5.341,
2004-04,5.978,
2004-07,5.452,
2004-10,5.518,
2005-01,5.704,
2005-04,5.932,
2005-07,6.090,
2005-10,6.074,
2006-01,6.027,
2006-04,6.113,
2006-07,6.147,
2006-10,6.257,
2007-01,6.116,
2007-04,6.091,
2007-07,6.045,
2007-10,5.844,
2008-01,5.712,
2008-04,5.691,
2008-07,5.642,
2008-10,5.524,
2009-01,5.617,
2009-04,5.737,
2009-07,6.024,
2009-10,5.853,
2010-01,5.801,
2010-04,6.267,
2010-07,6.343,
2010-10,6.418,
2011-01,6.546,
2011-04,6.759,
2011-07,8.900,
2011-10,8.871,
2012-01,8.872,
2012-04,8.717,
2012-07,8.817,
2012-10,8.937,
2013-01,8.996,
2013-04,9.011,
2013-07,9.208,
2013-10,9.258,
2014-01,9.234,
2014-04,9.177,
2014-07,9.238,
