"",BBK01.OEAL03O,BBK01.OEAL03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:10,
2002-01,4.840,
2002-04,4.986,
2002-07,4.979,
2002-10,5.490,
2003-01,5.933,
2003-04,6.039,
2003-07,6.358,
2003-10,6.811,
2004-01,7.297,
2004-04,7.363,
2004-07,7.439,
2004-10,7.907,
2005-01,12.784,
2005-04,12.826,
2005-07,12.990,
2005-10,13.182,
2006-01,13.365,
2006-04,13.445,
2006-07,13.628,
2006-10,14.096,
2007-01,14.371,
2007-04,14.693,
2007-07,15.041,
2007-10,16.050,
2008-01,16.649,
2008-04,17.210,
2008-07,18.073,
2008-10,19.955,
2009-01,18.669,
2009-04,17.390,
2009-07,16.028,
2009-10,15.304,
2010-01,14.741,
2010-04,14.252,
2010-07,13.984,
2010-10,13.977,
2011-01,13.939,
2011-04,13.976,
2011-07,14.026,
2011-10,14.276,
2012-01,14.380,
2012-04,14.332,
2012-07,14.167,
2012-10,14.079,
2013-01,13.580,
2013-04,13.354,
2013-07,13.238,
2013-10,13.258,
2014-01,13.158,
2014-04,13.010,
2014-07,13.006,
