"",BBSF2.M.1.T.00000.AKT01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.AKT01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Funds total / Equity funds / Short-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:18,
2009-09,618,
2009-10,584,
2009-11,565,
2009-12,534,
2010-01,791,
2010-02,1115,
2010-03,702,
2010-04,902,
2010-05,979,
2010-06,952,
2010-07,1002,
2010-08,1162,
2010-09,700,
2010-10,854,
2010-11,840,
2010-12,1522,
2011-01,1183,
2011-02,1340,
2011-03,1281,
2011-04,1756,
2011-05,1819,
2011-06,1973,
2011-07,1992,
2011-08,1902,
2011-09,2009,
2011-10,1665,
2011-11,2008,
2011-12,2049,
2012-01,1927,
2012-02,1782,
2012-03,1750,
2012-04,437,
2012-05,384,
2012-06,355,
2012-07,318,
2012-08,700,
2012-09,637,
2012-10,468,
2012-11,432,
2012-12,284,
2013-01,255,
2013-02,575,
2013-03,518,
2013-04,655,
2013-05,525,
2013-06,666,
2013-07,689,
2013-08,684,
2013-09,775,
2013-10,821,
2013-11,420,
2013-12,647,
2014-01,572,
2014-02,676,
2014-03,615,
2014-04,680,
2014-05,726,
2014-06,651,
2014-07,544,
2014-08,579,
2014-09,648,
2014-10,663,
2014-11,579,
