"",BBDP1.M.DE.Y.VPI.C.SVXR.I10.A,BBDP1.M.DE.Y.VPI.C.SVXR.I10.A_FLAGS
"",Consumer price index / Germany / Calendar and seasonally adjusted / Services excluding basic rent,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 16:44:58,
2000-01,84.8,
2000-02,84.4,
2000-03,84.4,
2000-04,84.5,
2000-05,84.4,
2000-06,84.4,
2000-07,84.3,
2000-08,84.2,
2000-09,84.5,
2000-10,84.7,
2000-11,85.0,
2000-12,84.6,
2001-01,85.9,
2001-02,85.9,
2001-03,86.1,
2001-04,86.2,
2001-05,86.3,
2001-06,86.5,
2001-07,86.4,
2001-08,86.4,
2001-09,86.8,
2001-10,87.0,
2001-11,87.3,
2001-12,86.9,
2002-01,88.0,
2002-02,88.1,
2002-03,88.3,
2002-04,88.3,
2002-05,88.5,
2002-06,88.7,
2002-07,88.6,
2002-08,88.6,
2002-09,88.9,
2002-10,89.0,
2002-11,89.2,
2002-12,88.5,
2003-01,89.4,
2003-02,89.4,
2003-03,89.5,
2003-04,89.6,
2003-05,89.6,
2003-06,89.7,
2003-07,89.5,
2003-08,89.8,
2003-09,90.2,
2003-10,90.2,
2003-11,90.4,
2003-12,89.7,
2004-01,91.4,
2004-02,91.4,
2004-03,91.6,
2004-04,92.1,
2004-05,91.9,
2004-06,91.9,
2004-07,91.6,
2004-08,92.0,
2004-09,92.2,
2004-10,92.3,
2004-11,92.5,
2004-12,92.1,
2005-01,92.4,
2005-02,92.2,
2005-03,92.4,
2005-04,92.4,
2005-05,92.5,
2005-06,92.6,
2005-07,92.5,
2005-08,93.0,
2005-09,92.7,
2005-10,92.8,
2005-11,92.8,
2005-12,93.0,
2006-01,93.0,
2006-02,93.2,
2006-03,93.1,
2006-04,93.3,
2006-05,93.3,
2006-06,93.4,
2006-07,93.5,
2006-08,93.6,
2006-09,93.7,
2006-10,93.9,
2006-11,94.0,
2006-12,94.1,
2007-01,94.9,
2007-02,95.2,
2007-03,95.4,
2007-04,96.2,
2007-05,96.3,
2007-06,96.2,
2007-07,96.3,
2007-08,96.5,
2007-09,96.8,
2007-10,96.8,
2007-11,97.0,
2007-12,97.1,
2008-01,97.2,
2008-02,97.4,
2008-03,97.7,
2008-04,97.5,
2008-05,97.7,
2008-06,97.9,
2008-07,98.1,
2008-08,98.1,
2008-09,98.3,
2008-10,98.3,
2008-11,98.7,
2008-12,98.8,
2009-01,99.0,
2009-02,99.1,
2009-03,99.0,
2009-04,99.2,
2009-05,99.3,
2009-06,99.4,
2009-07,99.5,
2009-08,99.5,
2009-09,99.5,
2009-10,99.8,
2009-11,99.9,
2009-12,99.9,
2010-01,99.7,
2010-02,99.7,
2010-03,99.8,
2010-04,100.0,
2010-05,99.9,
2010-06,100.0,
2010-07,99.7,
2010-08,100.0,
2010-09,100.2,
2010-10,100.5,
2010-11,100.4,
2010-12,100.1,
2011-01,100.5,
2011-02,100.5,
2011-03,100.7,
2011-04,101.0,
2011-05,101.1,
2011-06,101.0,
2011-07,101.0,
2011-08,101.1,
2011-09,101.2,
2011-10,101.4,
2011-11,101.3,
2011-12,101.4,
2012-01,101.7,
2012-02,101.8,
2012-03,102.1,
2012-04,102.0,
2012-05,102.3,
2012-06,102.2,
2012-07,102.4,
2012-08,102.4,
2012-09,102.6,
2012-10,102.9,
2012-11,103.0,
2012-12,103.2,
2013-01,102.8,
2013-02,102.9,
2013-03,103.2,
2013-04,103.3,
2013-05,103.9,
2013-06,103.9,
2013-07,104.0,
2013-08,104.1,
2013-09,104.3,
2013-10,104.1,
2013-11,104.5,
2013-12,104.6,
2014-01,105.0,
2014-02,105.1,
2014-03,105.3,
2014-04,105.4,
2014-05,105.2,
2014-06,105.4,
2014-07,105.6,
2014-08,105.7,
2014-09,105.8,
2014-10,105.9,
2014-11,105.9,
2014-12,106.1,
2015-01,106.1,
2015-02,106.7,Estimated value
