"",BBK01.OELB04H,BBK01.OELB04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:20,
2002-01,48.339,
2002-04,48.683,
2002-07,48.963,
2002-10,49.334,
2003-01,49.237,
2003-04,49.726,
2003-07,50.471,
2003-10,51.099,
2004-01,50.963,
2004-04,51.458,
2004-07,51.995,
2004-10,53.903,
2005-01,53.962,
2005-04,54.791,
2005-07,55.733,
2005-10,56.711,
2006-01,56.924,
2006-04,57.592,
2006-07,58.367,
2006-10,58.786,
2007-01,58.781,
2007-04,59.351,
2007-07,59.930,
2007-10,60.374,
2008-01,60.123,
2008-04,60.631,
2008-07,61.171,
2008-10,61.487,
2009-01,61.452,
2009-04,62.507,
2009-07,63.757,
2009-10,65.055,
2010-01,65.349,
2010-04,66.888,
2010-07,68.213,
2010-10,69.460,
2011-01,69.966,
2011-04,71.251,
2011-07,72.543,
2011-10,73.930,
2012-01,74.631,
2012-04,77.753,
2012-07,78.731,
2012-10,79.858,
2013-01,80.232,
2013-04,81.587,
2013-07,83.141,
2013-10,84.121,
2014-01,84.623,
2014-04,85.807,
2014-07,87.351,
