"",BBK01.OEAI08G,BBK01.OEAI08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:50,
2002-01,93.314,
2002-04,92.669,
2002-07,93.371,
2002-10,98.927,
2003-01,101.740,
2003-04,102.952,
2003-07,104.528,
2003-10,107.791,
2004-01,109.773,
2004-04,110.499,
2004-07,110.851,
2004-10,113.033,
2005-01,81.982,
2005-04,81.781,
2005-07,81.858,
2005-10,82.759,
2006-01,82.102,
2006-04,80.667,
2006-07,78.680,
2006-10,76.078,
2007-01,73.737,
2007-04,71.429,
2007-07,69.650,
2007-10,69.395,
2008-01,68.023,
2008-04,66.679,
2008-07,64.585,
2008-10,64.662,
2009-01,67.001,
2009-04,69.184,
2009-07,72.054,
2009-10,75.185,
2010-01,77.503,
2010-04,78.774,
2010-07,80.444,
2010-10,82.297,
2011-01,84.219,
2011-04,84.394,
2011-07,84.154,
2011-10,84.360,
2012-01,84.849,
2012-04,84.546,
2012-07,85.174,
2012-10,86.109,
2013-01,86.428,
2013-04,86.302,
2013-07,86.515,
2013-10,87.147,
2014-01,87.459,
2014-04,87.810,
2014-07,88.597,
