"",BBFB1.Q.N.DE.GR.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:34,
1991-01,35.928,
1991-04,-30.175,
1991-07,-12.305,
1991-10,62.854,
1992-01,95.869,
1992-04,-22.626,
1992-07,-19.722,
1992-10,24.785,
1993-01,4.708,
1993-04,19.913,
1993-07,177.513,
1993-10,40.858,
1994-01,-89.811,
1994-04,106.493,
1994-07,71.438,
1994-10,-13.733,
1995-01,-59.739,
1995-04,306.554,
1995-07,-135.515,
1995-10,-73.586,
1996-01,69.191,
1996-04,-45.046,
1996-07,248.828,
1996-10,-85.097,
1997-01,180.210,
1997-04,95.371,
1997-07,-30.484,
1997-10,124.343,
1998-01,837.331,
1998-04,-801.613,
1998-07,214.249,
1998-10,341.609,
1999-01,588.114,
1999-04,-64.472,
1999-07,-70.013,
1999-10,-542.487,
2000-01,-49.876,
2000-04,806.149,
2000-07,52.814,
2000-10,-841.364,
2001-01,353.986,
2001-04,227.133,
2001-07,426.365,
2001-10,810.017,
2002-01,-686.553,
2002-04,1485.468,
2002-07,91.650,
2002-10,-351.048,
2003-01,-622.379,
2003-04,680.221,
2003-07,-483.322,
2003-10,68.037,
2004-01,779.177,
2004-04,-1554.110,
2004-07,557.046,
2004-10,-6.280,
2005-01,1135.736,
2005-04,600.795,
2005-07,-1625.565,
2005-10,-188.141,
2006-01,-36.301,
2006-04,-243.523,
2006-07,252.553,
2006-10,-811.283,
2007-01,-685.181,
2007-04,1351.810,
2007-07,-185.569,
2007-10,-415.217,
2008-01,636.983,
2008-04,-1458.117,
2008-07,-149.395,
2008-10,-356.749,
2009-01,-67.407,
2009-04,388.223,
2009-07,92.149,
2009-10,265.309,
2010-01,1626.806,
2010-04,-1537.221,
2010-07,321.064,
2010-10,-706.915,
2011-01,-21.620,
2011-04,582.264,
2011-07,182.827,
2011-10,585.571,
2012-01,27.010,
2012-04,791.163,
2012-07,257.402,
2012-10,-145.436,
2013-01,-358.272,
2013-04,-390.554,
2013-07,170.505,
2013-10,-132.527,
2014-01,-156.406,Provisional value
2014-04,36.497,Provisional value
2014-07,92.340,Provisional value
2014-10,199.885,Provisional value
