"",BBK01.RJ8951,BBK01.RJ8951_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:36:00,
1989,-,Nothing exists
1990,-,Nothing exists
1991,-,Nothing exists
1992,-,Nothing exists
1993,-,Nothing exists
1994,-,Nothing exists
1995,-,Nothing exists
1996,-,Nothing exists
1997,.,No value available
1998,.,No value available
1999,.,No value available
2000,.,No value available
2001,.,No value available
2002,.,No value available
2003,.,No value available
2004,55,
2005,49,
2006,12,
2007,.,No value available
2008,18,
2009,12,
2010,.,No value available
2011,.,No value available
2012,17,
