"",BBK01.OEAD03U,BBK01.OEAD03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:30,
2002-01,0.143,
2002-04,0.142,
2002-07,0.142,
2002-10,0.152,
2003-01,0.163,
2003-04,0.172,
2003-07,0.153,
2003-10,0.157,
2004-01,0.152,
2004-04,0.155,
2004-07,0.151,
2004-10,0.147,
2005-01,0.133,
2005-04,0.132,
2005-07,0.132,
2005-10,0.127,
2006-01,0.131,
2006-04,0.146,
2006-07,0.147,
2006-10,0.155,
2007-01,0.156,
2007-04,0.160,
2007-07,0.156,
2007-10,0.149,
2008-01,0.149,
2008-04,0.156,
2008-07,0.145,
2008-10,0.147,
2009-01,0.126,
2009-04,0.143,
2009-07,0.136,
2009-10,0.130,
2010-01,0.132,
2010-04,0.127,
2010-07,0.138,
2010-10,0.129,
2011-01,0.135,
2011-04,0.129,
2011-07,0.125,
2011-10,0.121,
2012-01,0.120,
2012-04,0.114,
2012-07,0.109,
2012-10,0.108,
2013-01,0.115,
2013-04,0.114,
2013-07,0.110,
2013-10,0.108,
2014-01,0.113,
2014-04,0.107,
2014-07,0.105,
