"",BBFN1.M.DE.N.1.L.ES.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.ES.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Spain,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:12,
1994-12,1.508,
1995-01,1.696,
1995-02,1.696,
1995-03,1.634,
1995-04,1.588,
1995-05,1.710,
1995-06,1.825,
1995-07,1.761,
1995-08,1.613,
1995-09,1.757,
1995-10,1.823,
1995-11,1.861,
1995-12,1.813,
1996-01,1.862,
1996-02,1.842,
1996-03,1.905,
1996-04,1.938,
1996-05,2.018,
1996-06,2.108,
1996-07,1.951,
1996-08,1.804,
1996-09,1.991,
1996-10,2.018,
1996-11,2.002,
1996-12,2.052,
1997-01,2.082,
1997-02,1.854,
1997-03,1.920,
1997-04,2.031,
1997-05,2.054,
1997-06,2.157,
1997-07,2.078,
1997-08,1.687,
1997-09,2.151,
1997-10,2.095,
1997-11,2.252,
1997-12,2.552,
1998-01,2.321,
1998-02,2.353,
1998-03,2.523,
1998-04,2.475,
1998-05,2.580,
1998-06,2.675,
1998-07,2.806,
1998-08,2.735,
1998-09,3.311,
1998-10,2.998,
1998-11,2.960,
1998-12,3.031,
1999-01,3.062,
1999-02,3.345,
1999-03,3.441,
1999-04,3.045,
1999-05,3.137,
1999-06,3.171,
1999-07,3.141,
1999-08,3.093,
1999-09,3.328,
1999-10,3.324,
1999-11,3.575,
1999-12,3.869,
2000-01,3.710,
2000-02,3.861,
2000-03,4.276,
2000-04,4.296,
2000-05,4.424,
2000-06,4.559,
2000-07,4.529,
2000-08,4.459,
2000-09,8.557,
2000-10,8.900,
2000-11,8.991,
2000-12,8.774,
2001-01,9.230,
2001-02,9.375,
2001-03,9.690,
2001-04,8.799,
2001-05,9.079,
2001-06,9.509,
2001-07,9.495,
2001-08,9.415,
2001-09,9.916,
2001-10,9.126,
2001-11,8.967,
2001-12,9.304,
2002-01,9.319,
2002-02,9.931,
2002-03,9.996,
2002-04,10.117,
2002-05,10.319,
2002-06,6.429,
2002-07,5.916,
2002-08,5.676,
2002-09,6.479,
2002-10,5.983,
2002-11,6.170,
2002-12,6.204,
2003-01,6.252,
2003-02,6.401,
2003-03,6.611,
2003-04,6.339,
2003-05,6.634,
2003-06,6.688,
2003-07,6.661,
2003-08,6.535,
2003-09,6.992,
2003-10,7.323,
2003-11,7.897,
2003-12,7.190,
2004-01,7.391,
2004-02,7.619,
2004-03,7.497,
2004-04,7.222,
2004-05,7.938,
2004-06,7.182,
2004-07,7.620,
2004-08,7.214,
2004-09,7.839,
2004-10,7.663,
2004-11,7.897,
2004-12,7.002,
2005-01,6.896,
2005-02,6.985,
2005-03,7.218,
2005-04,7.429,
2005-05,7.044,
2005-06,7.349,
2005-07,7.386,
2005-08,6.700,
2005-09,7.213,
2005-10,7.321,
2005-11,7.606,
2005-12,7.676,
2006-01,7.398,
2006-02,7.850,
2006-03,8.283,
2006-04,8.035,
2006-05,7.139,
2006-06,7.891,
2006-07,8.856,
2006-08,8.191,
2006-09,8.747,
2006-10,8.623,
2006-11,9.402,
2006-12,8.550,
2007-01,8.927,
2007-02,9.146,
2007-03,9.762,
2007-04,9.530,
2007-05,8.128,
2007-06,9.676,
2007-07,9.153,
2007-08,9.065,
2007-09,9.555,
2007-10,9.488,
2007-11,9.646,
2007-12,8.984,
2008-01,8.876,
2008-02,9.897,
2008-03,9.769,
2008-04,9.942,
2008-05,10.365,
2008-06,10.275,
2008-07,10.373,
2008-08,9.463,
2008-09,10.600,
2008-10,11.226,
2008-11,11.631,
2008-12,10.057,
2009-01,11.235,
2009-02,10.937,
2009-03,11.443,
2009-04,10.854,
2009-05,10.953,
2009-06,11.077,
2009-07,10.987,
2009-08,11.171,
2009-09,11.597,
2009-10,11.894,
2009-11,11.576,
2009-12,16.371,
2010-01,11.762,
2010-02,12.019,
2010-03,10.607,
2010-04,10.788,
2010-05,11.142,
2010-06,11.260,
2010-07,11.041,
2010-08,10.402,
2010-09,11.298,
2010-10,11.367,
2010-11,11.055,
2010-12,11.362,
2011-01,14.506,
2011-02,12.991,
2011-03,13.008,
2011-04,13.305,
2011-05,13.400,
2011-06,13.215,
2011-07,13.125,
2011-08,13.040,
2011-09,15.125,
2011-10,15.531,
2011-11,16.189,
2011-12,13.917,
2012-01,15.527,
2012-02,17.236,
2012-03,16.917,
2012-04,16.305,
2012-05,16.438,
2012-06,23.996,
2012-07,18.320,
2012-08,17.567,
2012-09,17.284,
2012-10,17.474,
2012-11,17.110,
2012-12,17.976,
2013-01,22.327,
2013-02,21.093,
2013-03,20.553,
2013-04,20.158,
2013-05,20.262,
2013-06,20.344,
2013-07,18.584,
2013-08,17.244,
2013-09,18.487,
2013-10,16.782,
2013-11,17.261,
2013-12,13.659,
2014-01,12.622,
2014-02,13.655,
2014-03,14.184,
2014-04,14.493,
2014-05,15.294,
2014-06,14.199,
2014-07,17.018,
2014-08,13.935,
2014-09,14.845,
2014-10,15.705,
2014-11,16.486,
2014-12,13.723,
