"",BBK01.BJ9171,BBK01.BJ9171_FLAGS
"",National accounts - general government revenue - total tax revenue (ESA 2010) - Germany as a whole (western Germany up to and including 1990),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:55,
1970,82860,
1971,93140,
1972,100830,
1973,117600,
1974,126080,
1975,125860,
1976,141430,
1977,156740,
1978,164530,
1979,176370,
1980,187420,
1981,188590,
1982,193400,
1983,202070,
1984,213120,
1985,224360,
1986,231290,
1987,239130,
1988,249480,
1989,272940,
1990,281800,
1991,348731,"Break, comment"
1992,381005,
1993,392026,
1994,411027,
1995,420145,
1996,422135,
1997,424486,
1998,444961,
1999,476892,
2000,493080,
2001,470222,
2002,466341,
2003,472042,
2004,471322,
2005,483087,
2006,520063,
2007,567228,
2008,585911,
2009,554527,
2010,556189,
2011,598942,Provisional value
2012,624072,Provisional value
2013,642491,Provisional value
2014,662564,Provisional value
"",General: For Germany as a whole (western Germany in ESA 95 definition up to and including 1990),
