"",BBK01.OEHO06M,BBK01.OEHO06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:09,
2002-01,27.216,
2002-04,26.975,
2002-07,26.899,
2002-10,27.480,
2003-01,27.545,
2003-04,27.283,
2003-07,27.113,
2003-10,27.659,
2004-01,27.670,
2004-04,27.514,
2004-07,27.034,
2004-10,27.972,
2005-01,27.863,
2005-04,27.624,
2005-07,27.411,
2005-10,27.676,
2006-01,27.580,
2006-04,27.303,
2006-07,26.953,
2006-10,26.913,
2007-01,26.181,
2007-04,25.680,
2007-07,25.156,
2007-10,25.285,
2008-01,24.825,
2008-04,24.459,
2008-07,23.980,
2008-10,24.428,
2009-01,24.580,
2009-04,24.357,
2009-07,23.885,
2009-10,24.148,
2010-01,24.406,
2010-04,24.491,
2010-07,24.405,
2010-10,24.742,
2011-01,24.845,
2011-04,24.826,
2011-07,24.727,
2011-10,25.066,
2012-01,25.093,
2012-04,24.941,
2012-07,24.788,
2012-10,24.965,
2013-01,25.085,
2013-04,25.105,
2013-07,25.065,
2013-10,25.261,
2014-01,25.307,
2014-04,25.210,
2014-07,25.008,
