"",BBK01.OEAD40M,BBK01.OEAD40M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:22,
2002-01,1.287,
2002-04,1.272,
2002-07,1.220,
2002-10,1.211,
2003-01,1.196,
2003-04,1.177,
2003-07,1.165,
2003-10,1.135,
2004-01,1.119,
2004-04,1.110,
2004-07,1.097,
2004-10,1.088,
2005-01,1.071,
2005-04,1.049,
2005-07,1.091,
2005-10,1.052,
2006-01,1.086,
2006-04,1.071,
2006-07,1.060,
2006-10,1.041,
2007-01,1.063,
2007-04,1.077,
2007-07,1.091,
2007-10,1.126,
2008-01,1.091,
2008-04,1.102,
2008-07,1.094,
2008-10,1.055,
2009-01,1.069,
2009-04,1.099,
2009-07,1.112,
2009-10,1.085,
2010-01,1.198,
2010-04,1.228,
2010-07,1.224,
2010-10,1.148,
2011-01,1.140,
2011-04,1.188,
2011-07,1.183,
2011-10,1.187,
2012-01,1.155,
2012-04,1.156,
2012-07,1.180,
2012-10,1.165,
2013-01,1.157,
2013-04,1.103,
2013-07,1.122,
2013-10,1.095,
2014-01,1.122,
2014-04,1.102,
2014-07,1.093,
