"",BBEX3.M.COP.USD.CA.AA.A01,BBEX3.M.COP.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Colombia / USD 1 = COP ... (buying),
unit,COP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:47,
1994-01,818.06,
1994-02,819.38,
1994-03,820.07,
1994-04,836.94,
1994-05,840.30,
1994-06,819.31,
1994-07,815.19,
1994-08,816.01,
1994-09,841.65,
1994-10,838.30,
1994-11,828.82,
1994-12,831.42,
1995-01,856.18,
1995-02,856.23,
1995-03,880.10,
1995-04,876.01,
1995-05,876.15,
1995-06,881.08,
1995-07,897.60,
1995-08,960.02,
1995-09,972.22,
1995-10,994.31,
1995-11,997.98,
1995-12,987.18,
1996-01,1027.86,
1996-02,1039.72,
1996-03,1048.32,
1996-04,1058.83,
1996-05,1073.05,
1996-06,1069.59,
1996-07,1056.52,
1996-08,1044.77,
1996-09,1024.74,
1996-10,1015.27,
1996-11,994.22,
1996-12,1003.42,
1997-01,1070.77,
1997-02,1080.46,
1997-03,1059.69,
1997-04,1062.98,
1997-05,1076.29,
1997-06,1090.31,
1997-07,1109.58,
1997-08,1171.97,
1997-09,1245.99,
1997-10,1281.05,
1997-11,1301.57,
1997-12,1293.29,
1998-01,1341.53,
1998-02,1343.94,
1998-03,1361.79,
1998-04,1365.53,
1998-05,1396.36,
1998-06,1362.61,
1998-07,1370.18,
1998-08,1440.74,
1998-09,1555.84,
1998-10,1576.95,
1998-11,1546.50,
1998-12,1534.22,
1999-01,1580.26,
1999-02,1571.90,
1999-03,1530.94,
1999-04,1602.75,
1999-05,1669.17,
1999-06,1730.04,
1999-07,1804.87,
1999-08,1952.63,
1999-09,2015.55,
1999-10,1963.92,
1999-11,1922.65,
1999-12,1866.83,
2000-01,1975.50,
2000-02,1944.77,
2000-03,1950.11,
2000-04,2001.77,
2000-05,2083.57,
2000-06,2138.36,
2000-07,2172.60,
2000-08,2207.92,
2000-09,2211.38,
2000-10,2157.89,
2000-11,2172.33,
2000-12,2227.72,
2001-01,2240.55,
2001-02,2257.07,
2001-03,2309.81,
2001-04,2346.73,
2001-05,2324.37,
2001-06,2304.70,
2001-07,2292.99,
2001-08,2300.90,
2001-09,2328.32,
2001-10,2308.80,
2001-11,2310.58,
2001-12,2300.73,
2002-01,2264.75,
2002-02,2309.58,
2002-03,2260.07,
2002-04,2275.09,
2002-05,2321.06,
2002-06,2397.82,
2002-07,2624.13,
2002-08,2711.25,
2002-09,2827.54,
2002-10,2778.14,
2002-11,2753.72,
2002-12,2864.07,
2003-01,2925.36,
2003-02,2955.85,
2003-03,2958.07,
2003-04,2887.58,
2003-05,2855.35,
2003-06,2817.14,
2003-07,2879.95,
2003-08,2846.08,
2003-09,2889.08,
2003-10,2884.07,
2003-11,2838.33,
2003-12,2777.34,
2004-01,2740.00,
2004-02,2685.89,
2004-03,2677.91,
2004-04,2646.90,
2004-05,2724.33,
2004-06,2699.44,
2004-07,2619.43,
2004-08,2551.17,
2004-09,2594.83,
2004-10,2585.03,
2004-11,2478.75,
2004-12,2386.27,
2005-01,2367.00,
2005-02,2322.77,
2005-03,2376.44,
2005-04,2344.23,
2005-05,2332.51,
2005-06,2331.43,
2005-07,2311.19,
2005-08,2303.93,
2005-09,2289.26,
2005-10,2289.20,
2005-11,2273.84,
2005-12,2283.75,
2006-01,2265.42,
2006-02,2247.00,
2006-03,2289.79,
2006-04,2375.30,
2006-05,2481.92,
2006-06,2632.61,
2006-07,2425.56,
2006-08,2396.28,
2006-09,2396.89,
2006-10,2315.24,
2006-11,2300.29,
2006-12,2238.12,
2007-01,2259.54,
2007-02,2223.93,
2007-03,2154.72,
2007-04,2110.34,
2007-05,1930.13,
2007-06,1957.57,
2007-07,1971.37,
2007-08,2172.45,
2007-09,2012.86,
2007-10,1998.97,
2007-11,2059.97,
2007-12,2013.72,
2008-01,1939.14,
2008-02,1843.37,
2008-03,1821.43,
2008-04,1779.96,
2008-05,1755.79,
2008-06,1921.52,
2008-07,1791.89,
2008-08,1907.53,
2008-09,2174.16,
2008-10,2373.75,
2008-11,2323.53,
2008-12,2241.47,
2009-01,2385.86,
2009-02,2554.86,
2009-03,2560.79,
2009-04,2289.25,
2009-05,2190.29,
2009-06,2158.18,
2009-07,2043.07,
2009-08,2034.75,
2009-09,1921.85,
2009-10,2004.01,
2009-11,1997.13,
2009-12,2042.91,
2010-01,1990.93,
2010-02,1941.81,
2010-03,1928.11,
2010-04,1969.38,
2010-05,1971.26,
2010-06,1916.18,
2010-07,1841.08,
2010-08,1823.00,
2010-09,1799.58,
2010-10,1839.52,
2010-11,1916.47,
2010-12,1987.97,
2011-01,1857.42,
2011-02,1895.19,
2011-03,1878.99,
2011-04,1766.97,
2011-05,1816.85,
2011-06,1779.43,
2011-07,1770.66,
2011-08,1783.29,
2011-09,1914.71,
2011-10,1862.55,
2011-11,1966.45,
2011-12,1941.29,
2012-01,1814.61,
2012-02,1767.32,
2012-03,1784.16,
2012-04,1760.67,
2012-05,1827.33,
2012-06,1805.35,
2012-07,1788.36,
2012-08,1830.06,
2012-09,1797.78,
2012-10,1829.15,
2012-11,1817.35,
2012-12,1767.10,
2013-01,1772.80,
2013-02,1815.86,
2013-03,1831.30,
2013-04,1828.35,
2013-05,1891.01,
2013-06,1922.11,
2013-07,1889.92,
2013-08,1942.64,
2013-09,1914.16,
2013-10,1883.58,
2013-11,1927.82,
2013-12,1925.56,
2014-01,2007.91,
2014-02,2054.43,
2014-03,1964.68,
2014-04,1934.37,
2014-05,1905.25,
2014-06,1880.39,
2014-07,1871.49,
2014-08,1934.49,
2014-09,2027.76,
2014-10,2050.04,
2014-11,2164.52,
2014-12,2390.44,
2015-01,2396.49,
"","Source: Since April 2003: Superintendencia Financiera de Colombia, Bogotá, D.C. (formerly: Superintendencia Bancaria de Colombia). 1994 - March 2003: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
