"",BBK01.OEXK04J,BBK01.OEXK04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:18,
2002-01,0.124,
2002-04,0.125,
2002-07,0.129,
2002-10,0.166,
2003-01,0.131,
2003-04,0.133,
2003-07,0.120,
2003-10,0.123,
2004-01,0.130,
2004-04,0.138,
2004-07,0.138,
2004-10,0.131,
2005-01,0.130,
2005-04,0.109,
2005-07,0.075,
2005-10,0.082,
2006-01,0.077,
2006-04,0.077,
2006-07,0.074,
2006-10,0.084,
2007-01,0.089,
2007-04,0.089,
2007-07,0.120,
2007-10,0.127,
2008-01,0.129,
2008-04,0.140,
2008-07,0.157,
2008-10,0.162,
2009-01,0.137,
2009-04,0.116,
2009-07,0.100,
2009-10,0.098,
2010-01,0.097,
2010-04,0.094,
2010-07,0.093,
2010-10,0.087,
2011-01,0.092,
2011-04,0.090,
2011-07,0.090,
2011-10,0.083,
2012-01,0.085,
2012-04,0.081,
2012-07,0.074,
2012-10,0.060,
2013-01,0.059,
2013-04,0.053,
2013-07,0.053,
2013-10,0.053,
2014-01,0.052,
2014-04,0.052,
2014-07,0.049,
