"",BBK01.CEH0Q1,BBK01.CEH0Q1_FLAGS
"",Acquisition of financial assets  (consolidated) debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:27,
1991-01,18.9,
1991-04,8.3,
1991-07,12.6,
1991-10,14.5,
1992-01,14.1,
1992-04,14.2,
1992-07,-36.0,
1992-10,50.4,
1993-01,-0.7,
1993-04,16.6,
1993-07,-3.3,
1993-10,35.7,
1994-01,-7.4,
1994-04,9.8,
1994-07,15.1,
1994-10,61.0,
1995-01,18.0,
1995-04,8.1,
1995-07,14.4,
1995-10,9.0,
1996-01,-3.4,
1996-04,-1.2,
1996-07,10.6,
1996-10,57.9,
1997-01,-9.3,
1997-04,1.9,
1997-07,22.2,
1997-10,29.4,
1998-01,12.9,
1998-04,-14.2,
1998-07,-1.0,
1998-10,102.8,
1999-01,43.1,
1999-04,7.1,
1999-07,48.0,
1999-10,89.8,
2000-01,-3.7,
2000-04,43.5,
2000-07,81.2,
2000-10,149.3,
2001-01,-13.3,
2001-04,18.2,
2001-07,71.1,
2001-10,35.0,
2002-01,-24.2,
2002-04,-1.0,
2002-07,27.4,
2002-10,14.9,
2003-01,27.6,
2003-04,14.7,
2003-07,4.1,
2003-10,2.1,
2004-01,-24.8,
2004-04,42.2,
2004-07,25.8,
2004-10,19.9,
2005-01,-5.2,
2005-04,37.3,
2005-07,6.7,
2005-10,-21.3,
2006-01,62.8,
2006-04,29.3,
2006-07,43.4,
2006-10,84.4,
2007-01,23.0,
2007-04,14.9,
2007-07,106.8,
2007-10,113.7,
2008-01,5.8,
2008-04,10.8,
2008-07,19.5,
2008-10,-42.1,
2009-01,-5.1,
2009-04,42.4,
2009-07,28.1,
2009-10,26.0,
2010-01,36.2,
2010-04,-15.3,
2010-07,64.8,
2010-10,37.1,
2011-01,79.3,
2011-04,16.4,
2011-07,-40.4,
2011-10,48.7,
2012-01,7.3,
2012-04,-22.4,
2012-07,47.1,
2012-10,54.4,
2013-01,16.5,
2013-04,3.6,
2013-07,104.7,
2013-10,25.3,
2014-01,-9.4,
