"",BBK01.OELL06Q,BBK01.OELL06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:16,
2002-01,0.787,
2002-04,0.789,
2002-07,0.790,
2002-10,0.764,
2003-01,0.747,
2003-04,0.627,
2003-07,0.696,
2003-10,0.693,
2004-01,0.680,
2004-04,0.675,
2004-07,0.671,
2004-10,0.661,
2005-01,0.624,
2005-04,0.611,
2005-07,0.577,
2005-10,0.562,
2006-01,0.590,
2006-04,0.594,
2006-07,0.603,
2006-10,0.633,
2007-01,0.673,
2007-04,0.688,
2007-07,0.711,
2007-10,0.746,
2008-01,0.740,
2008-04,0.755,
2008-07,0.772,
2008-10,0.796,
2009-01,0.762,
2009-04,0.710,
2009-07,0.646,
2009-10,0.577,
2010-01,0.499,
2010-04,0.497,
2010-07,0.501,
2010-10,0.499,
2011-01,0.494,
2011-04,0.516,
2011-07,0.527,
2011-10,0.525,
2012-01,0.517,
2012-04,0.497,
2012-07,0.489,
2012-10,0.448,
2013-01,0.413,
2013-04,0.383,
2013-07,0.357,
2013-10,0.339,
2014-01,0.317,
2014-04,0.296,
2014-07,0.278,
