"",BBK01.TQ7009,BBK01.TQ7009_FLAGS
"",Deposit takers - Non-interest expenses to gross income FSI-I009,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:25,
2005-10,60.95,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,62.35,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,64.93,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,73.45,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,65.10,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,63.70,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,63.90,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,64.20,
2013-01,.,No value available
2013-04,.,No value available
2013-07,.,No value available
2013-10,69.11,
