"",BBK01.OELL09G,BBK01.OELL09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:32,
2002-01,5.454,
2002-04,5.196,
2002-07,5.061,
2002-10,5.001,
2003-01,4.632,
2003-04,4.261,
2003-07,4.033,
2003-10,4.425,
2004-01,4.525,
2004-04,4.497,
2004-07,4.514,
2004-10,4.510,
2005-01,4.520,
2005-04,4.483,
2005-07,4.311,
2005-10,4.225,
2006-01,4.201,
2006-04,4.155,
2006-07,4.300,
2006-10,4.760,
2007-01,4.844,
2007-04,4.555,
2007-07,4.332,
2007-10,4.102,
2008-01,3.737,
2008-04,3.352,
2008-07,3.089,
2008-10,3.305,
2009-01,3.759,
2009-04,4.405,
2009-07,5.105,
2009-10,6.237,
2010-01,6.567,
2010-04,6.220,
2010-07,5.718,
2010-10,5.161,
2011-01,4.780,
2011-04,4.695,
2011-07,4.575,
2011-10,4.467,
2012-01,4.280,
2012-04,4.027,
2012-07,3.869,
2012-10,3.809,
2013-01,3.787,
2013-04,3.687,
2013-07,3.681,
2013-10,3.967,
2014-01,4.002,
2014-04,4.086,
2014-07,4.059,
