"",BBFN1.M.DE.N.1.A.NG.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NG.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Nigeria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:34,
1994-07,0.211,
1994-08,0.223,
1994-09,0.218,
1994-10,0.218,
1994-11,0.219,
1994-12,0.211,
1995-01,0.214,
1995-02,0.213,
1995-03,0.213,
1995-04,0.222,
1995-05,0.222,
1995-06,0.217,
1995-07,0.220,
1995-08,0.218,
1995-09,0.223,
1995-10,0.209,
1995-11,0.209,
1995-12,0.221,
1996-01,0.199,
1996-02,0.194,
1996-03,0.198,
1996-04,0.206,
1996-05,0.212,
1996-06,0.208,
1996-07,0.209,
1996-08,0.217,
1996-09,0.218,
1996-10,0.210,
1996-11,0.203,
1996-12,0.222,
1997-01,0.201,
1997-02,0.206,
1997-03,0.207,
1997-04,0.203,
1997-05,0.216,
1997-06,0.224,
1997-07,0.240,
1997-08,0.248,
1997-09,0.268,
1997-10,0.263,
1997-11,0.277,
1997-12,0.261,
1998-01,0.287,
1998-02,0.301,
1998-03,0.295,
1998-04,0.297,
1998-05,0.286,
1998-06,0.258,
1998-07,0.243,
1998-08,0.221,
1998-09,0.205,
1998-10,0.195,
1998-11,0.198,
1998-12,0.193,
1999-01,0.196,
1999-02,0.206,
1999-03,0.219,
1999-04,0.208,
1999-05,0.238,
1999-06,0.216,
1999-07,0.230,
1999-08,0.233,
1999-09,0.218,
1999-10,0.233,
1999-11,0.259,
1999-12,0.255,
2000-01,0.267,
2000-02,0.256,
2000-03,0.260,
2000-04,0.264,
2000-05,0.260,
2000-06,0.269,
2000-07,0.304,
2000-08,0.310,
2000-09,0.320,
2000-10,0.319,
2000-11,0.346,
2000-12,0.348,
2001-01,0.349,
2001-02,0.340,
2001-03,0.357,
2001-04,0.350,
2001-05,0.353,
2001-06,0.348,
2001-07,0.339,
2001-08,0.344,
2001-09,0.361,
2001-10,0.360,
2001-11,0.350,
2001-12,0.365,
2002-01,0.338,
2002-02,0.351,
2002-03,0.351,
2002-04,0.378,
2002-05,0.376,
2002-06,0.378,
2002-07,0.371,
2002-08,0.334,
2002-09,0.338,
2002-10,0.322,
2002-11,0.335,
2002-12,0.368,
2003-01,0.356,
2003-02,0.344,
2003-03,0.333,
2003-04,0.304,
2003-05,0.300,
2003-06,0.288,
2003-07,0.284,
2003-08,0.303,
2003-09,0.310,
2003-10,0.312,
2003-11,0.263,
2003-12,0.262,
2004-01,0.263,
2004-02,0.262,
2004-03,0.245,
2004-04,0.240,
2004-05,0.245,
2004-06,0.231,
2004-07,0.248,
2004-08,0.240,
2004-09,0.230,
2004-10,0.225,
2004-11,0.237,
2004-12,0.153,
2005-01,0.169,
2005-02,0.161,
2005-03,0.169,
2005-04,0.160,
2005-05,0.166,
2005-06,0.173,
2005-07,0.179,
2005-08,0.165,
2005-09,0.161,
2005-10,0.179,
2005-11,0.183,
2005-12,0.161,
2006-01,0.159,
2006-02,0.135,
2006-03,0.142,
2006-04,0.144,
2006-05,0.145,
2006-06,0.160,
2006-07,0.166,
2006-08,0.170,
2006-09,0.152,
2006-10,0.162,
2006-11,0.138,
2006-12,0.151,
2007-01,0.146,
2007-02,0.145,
2007-03,0.159,
2007-04,0.135,
2007-05,0.166,
2007-06,0.163,
2007-07,0.170,
2007-08,0.175,
2007-09,0.172,
2007-10,0.184,
2007-11,0.193,
2007-12,0.207,
2008-01,0.176,
2008-02,0.177,
2008-03,0.163,
2008-04,0.177,
2008-05,0.198,
2008-06,0.176,
2008-07,0.185,
2008-08,0.163,
2008-09,0.200,
2008-10,0.181,
2008-11,0.203,
2008-12,0.170,
2009-01,0.156,
2009-02,0.172,
2009-03,0.148,
2009-04,0.154,
2009-05,0.153,
2009-06,0.152,
2009-07,0.146,
2009-08,0.144,
2009-09,0.146,
2009-10,0.160,
2009-11,0.144,
2009-12,0.129,
2010-01,0.118,
2010-02,0.125,
2010-03,0.138,
2010-04,0.142,
2010-05,0.142,
2010-06,0.155,
2010-07,0.136,
2010-08,0.143,
2010-09,0.160,
2010-10,0.148,
2010-11,0.155,
2010-12,0.123,
2011-01,0.128,
2011-02,0.129,
2011-03,0.140,
2011-04,0.136,
2011-05,0.120,
2011-06,0.125,
2011-07,0.130,
2011-08,0.134,
2011-09,0.144,
2011-10,0.157,
2011-11,0.170,
2011-12,0.164,
2012-01,0.148,
2012-02,0.128,
2012-03,0.147,
2012-04,0.158,
2012-05,0.174,
2012-06,0.178,
2012-07,0.165,
2012-08,0.159,
2012-09,0.163,
2012-10,0.164,
2012-11,0.224,
2012-12,0.224,
2013-01,0.209,
2013-02,0.189,
2013-03,0.208,
2013-04,0.207,
2013-05,0.266,
2013-06,0.267,
2013-07,0.245,
2013-08,0.251,
2013-09,0.259,
2013-10,0.250,
2013-11,0.247,
2013-12,0.287,
2014-01,0.284,
2014-02,0.275,
2014-03,0.276,
2014-04,0.289,
2014-05,0.304,
2014-06,0.334,
2014-07,0.329,
2014-08,0.333,
2014-09,0.339,
2014-10,0.376,
2014-11,0.363,
2014-12,0.351,
