"",BBK01.OEBO02H,BBK01.OEBO02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:47,
2002-01,1.774,
2002-04,1.333,
2002-07,1.218,
2002-10,1.373,
2003-01,1.669,
2003-04,1.509,
2003-07,1.794,
2003-10,1.566,
2004-01,1.886,
2004-04,1.805,
2004-07,2.192,
2004-10,2.174,
2005-01,4.845,
2005-04,4.212,
2005-07,2.218,
2005-10,2.251,
2006-01,2.487,
2006-04,2.266,
2006-07,2.095,
2006-10,2.490,
2007-01,3.528,
2007-04,2.431,
2007-07,2.167,
2007-10,2.895,
2008-01,2.794,
2008-04,2.807,
2008-07,2.135,
2008-10,4.152,
2009-01,3.575,
2009-04,3.506,
2009-07,3.846,
2009-10,3.147,
2010-01,4.629,
2010-04,3.180,
2010-07,3.028,
2010-10,4.254,
2011-01,4.184,
2011-04,3.038,
2011-07,3.361,
2011-10,4.224,
2012-01,5.474,
2012-04,2.899,
2012-07,3.213,
2012-10,3.343,
2013-01,3.519,
2013-04,2.404,
2013-07,2.122,
2013-10,2.027,
2014-01,1.854,
2014-04,1.840,
2014-07,2.617,
