"",BBNZ1.Q.DE.N.H.0938.A,BBNZ1.Q.DE.N.H.0938.A_FLAGS
"",Germany / National accounts / Unit labour costs per hour / Business services,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:21:00,
1991-01,42.54,
1991-04,47.37,
1991-07,47.51,
1991-10,56.12,
1992-01,45.36,
1992-04,49.84,
1992-07,50.46,
1992-10,58.88,
1993-01,48.07,
1993-04,52.55,
1993-07,51.60,
1993-10,60.68,
1994-01,52.05,
1994-04,56.20,
1994-07,54.49,
1994-10,63.90,
1995-01,53.43,
1995-04,58.22,
1995-07,56.67,
1995-10,64.89,
1996-01,57.02,
1996-04,60.70,
1996-07,59.33,
1996-10,68.14,
1997-01,60.45,
1997-04,63.41,
1997-07,61.75,
1997-10,70.42,
1998-01,60.97,
1998-04,65.84,
1998-07,64.59,
1998-10,73.75,
1999-01,62.22,
1999-04,68.35,
1999-07,66.25,
1999-10,75.62,
2000-01,64.59,
2000-04,69.95,
2000-07,69.19,
2000-10,80.05,
2001-01,65.96,
2001-04,71.37,
2001-07,69.58,
2001-10,80.06,
2002-01,67.93,
2002-04,72.70,
2002-07,70.73,
2002-10,82.86,
2003-01,69.57,
2003-04,74.84,
2003-07,71.50,
2003-10,84.77,
2004-01,74.66,
2004-04,79.63,
2004-07,76.95,
2004-10,87.62,
2005-01,77.44,
2005-04,81.95,
2005-07,78.49,
2005-10,89.17,
2006-01,76.74,
2006-04,82.40,
2006-07,80.80,
2006-10,90.51,
2007-01,76.53,
2007-04,81.93,
2007-07,80.15,
2007-10,91.09,
2008-01,80.34,
2008-04,86.23,
2008-07,85.04,
2008-10,98.04,
2009-01,90.66,
2009-04,97.76,
2009-07,94.44,
2009-10,108.20,
2010-01,93.02,
2010-04,99.96,
2010-07,96.84,
2010-10,110.16,
2011-01,97.34,
2011-04,105.93,
2011-07,103.23,
2011-10,117.58,
2012-01,103.30,
2012-04,111.21,
2012-07,108.19,
2012-10,122.77,
2013-01,105.41,
2013-04,112.57,
2013-07,107.75,
2013-10,121.95,
2014-01,105.98,
2014-04,114.97,
2014-07,110.04,
2014-10,124.80,
