"",BBSF2.M.1.T.00000.DGE01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.DGE01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Funds-of-funds: Mixed funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:46,
2009-09,1329,
2009-10,1645,
2009-11,1658,
2009-12,1707,
2010-01,1649,
2010-02,1432,
2010-03,1451,
2010-04,1486,
2010-05,1483,
2010-06,1497,
2010-07,1928,
2010-08,5245,
2010-09,5179,
2010-10,5310,
2010-11,5513,
2010-12,5731,
2011-01,5452,
2011-02,5858,
2011-03,5804,
2011-04,5872,
2011-05,5992,
2011-06,6121,
2011-07,6094,
2011-08,5942,
2011-09,5921,
2011-10,6024,
2011-11,5860,
2011-12,6233,
2012-01,6247,
2012-02,6393,
2012-03,6232,
2012-04,6391,
2012-05,6513,
2012-06,6488,
2012-07,15292,
2012-08,15577,
2012-09,15583,
2012-10,16471,
2012-11,16375,
2012-12,16511,
2013-01,16838,
2013-02,17234,
2013-03,17630,
2013-04,17927,
2013-05,18346,
2013-06,18064,
2013-07,18377,
2013-08,18483,
2013-09,18811,
2013-10,19374,
2013-11,19496,
2013-12,20022,
2014-01,20140,
2014-02,20405,
2014-03,20822,
2014-04,21035,
2014-05,21526,
2014-06,21833,
2014-07,21925,
2014-08,22389,
2014-09,22582,
2014-10,22688,
2014-11,23272,
