"",BBK01.OEBI02J,BBK01.OEBI02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:19,
2002-01,1.687,
2002-04,1.684,
2002-07,1.675,
2002-10,1.934,
2003-01,1.778,
2003-04,1.798,
2003-07,1.828,
2003-10,2.022,
2004-01,2.035,
2004-04,2.107,
2004-07,2.193,
2004-10,2.141,
2005-01,2.393,
2005-04,2.437,
2005-07,2.395,
2005-10,2.413,
2006-01,2.499,
2006-04,2.534,
2006-07,2.399,
2006-10,2.508,
2007-01,2.519,
2007-04,2.683,
2007-07,2.686,
2007-10,2.687,
2008-01,2.772,
2008-04,2.742,
2008-07,2.702,
2008-10,3.076,
2009-01,3.214,
2009-04,3.215,
2009-07,3.254,
2009-10,3.522,
2010-01,3.369,
2010-04,3.397,
2010-07,3.287,
2010-10,3.403,
2011-01,3.304,
2011-04,3.392,
2011-07,3.429,
2011-10,3.692,
2012-01,3.597,
2012-04,3.696,
2012-07,4.100,
2012-10,4.078,
2013-01,3.951,
2013-04,3.885,
2013-07,3.910,
2013-10,4.341,
2014-01,4.072,
2014-04,4.257,
2014-07,4.359,
