"",BBK01.OEAC36K,BBK01.OEAC36K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:30,
2002-01,0.058,
2002-04,0.058,
2002-07,0.056,
2002-10,0.102,
2003-01,0.094,
2003-04,0.094,
2003-07,0.098,
2003-10,0.093,
2004-01,0.066,
2004-04,0.052,
2004-07,0.049,
2004-10,0.045,
2005-01,0.039,
2005-04,0.044,
2005-07,0.095,
2005-10,0.056,
2006-01,0.052,
2006-04,0.048,
2006-07,0.048,
2006-10,0.042,
2007-01,0.042,
2007-04,0.039,
2007-07,0.034,
2007-10,0.036,
2008-01,0.034,
2008-04,0.059,
2008-07,0.065,
2008-10,0.074,
2009-01,0.056,
2009-04,0.046,
2009-07,0.040,
2009-10,0.039,
2010-01,0.043,
2010-04,0.057,
2010-07,0.061,
2010-10,0.055,
2011-01,0.062,
2011-04,0.063,
2011-07,0.077,
2011-10,0.065,
2012-01,0.086,
2012-04,0.087,
2012-07,0.086,
2012-10,0.077,
2013-01,0.076,
2013-04,0.069,
2013-07,0.067,
2013-10,0.062,
2014-01,0.082,
2014-04,0.082,
2014-07,0.085,
