"",BBK01.OEAD16M,BBK01.OEAD16M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:12,
2002-01,0.941,
2002-04,0.875,
2002-07,0.717,
2002-10,0.510,
2003-01,0.687,
2003-04,0.824,
2003-07,0.700,
2003-10,0.609,
2004-01,0.624,
2004-04,0.581,
2004-07,0.451,
2004-10,0.634,
2005-01,0.430,
2005-04,0.396,
2005-07,0.378,
2005-10,0.339,
2006-01,0.420,
2006-04,0.477,
2006-07,0.624,
2006-10,0.751,
2007-01,0.571,
2007-04,0.492,
2007-07,0.450,
2007-10,0.656,
2008-01,0.650,
2008-04,0.566,
2008-07,0.739,
2008-10,0.602,
2009-01,0.814,
2009-04,0.739,
2009-07,0.593,
2009-10,0.554,
2010-01,0.663,
2010-04,0.454,
2010-07,0.558,
2010-10,0.455,
2011-01,0.579,
2011-04,0.547,
2011-07,0.492,
2011-10,0.618,
2012-01,0.579,
2012-04,0.510,
2012-07,0.620,
2012-10,0.638,
2013-01,0.767,
2013-04,0.602,
2013-07,0.678,
2013-10,0.762,
2014-01,0.555,
2014-04,0.793,
2014-07,0.798,
