"",BBFB1.Q.N.DE.U3.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:04,
1991-01,2109.953,
1991-04,2469.813,
1991-07,2996.737,
1991-10,2522.064,
1992-01,2402.803,
1992-04,2762.393,
1992-07,3482.741,
1992-10,2817.263,
1993-01,2534.567,
1993-04,3100.478,
1993-07,3898.546,
1993-10,3179.381,
1994-01,2719.931,
1994-04,3280.926,
1994-07,4114.425,
1994-10,3223.628,
1995-01,3401.805,
1995-04,3394.424,
1995-07,4281.672,
1995-10,3406.793,
1996-01,3329.939,
1996-04,3959.847,
1996-07,4825.532,
1996-10,3950.883,
1997-01,3750.349,
1997-04,4552.355,
1997-07,5470.699,
1997-10,4625.457,
1998-01,4019.536,
1998-04,4809.205,
1998-07,5832.298,
1998-10,5123.720,
1999-01,4357.938,
1999-04,5423.092,
1999-07,6619.460,
1999-10,6221.345,
2000-01,5593.430,
2000-04,5975.941,
2000-07,7433.126,
2000-10,6933.888,
2001-01,6463.456,
2001-04,6918.864,
2001-07,8334.328,
2001-10,6858.331,
2002-01,6432.292,
2002-04,6669.330,
2002-07,8148.273,
2002-10,6412.653,
2003-01,5994.763,
2003-04,6898.185,
2003-07,8826.690,
2003-10,6694.777,
2004-01,6152.396,
2004-04,7492.141,
2004-07,8942.198,
2004-10,7077.800,
2005-01,6976.996,
2005-04,8051.487,
2005-07,9640.315,
2005-10,8078.126,
2006-01,7729.697,
2006-04,8052.763,
2006-07,10734.312,
2006-10,8608.572,
2007-01,8319.138,
2007-04,9368.221,
2007-07,11016.613,
2007-10,9293.806,
2008-01,8819.193,
2008-04,9523.150,
2008-07,11183.430,
2008-10,9334.034,
2009-01,7359.288,
2009-04,8451.568,
2009-07,10049.809,
2009-10,8700.787,
2010-01,7348.764,
2010-04,8883.728,
2010-07,10525.787,
2010-10,9140.896,
2011-01,8394.768,
2011-04,9999.737,
2011-07,11292.606,
2011-10,9699.493,
2012-01,8623.856,
2012-04,9572.291,
2012-07,11901.741,
2012-10,10176.585,
2013-01,9125.710,
2013-04,10359.608,
2013-07,12888.722,
2013-10,10517.428,
2014-01,9568.198,Provisional value
2014-04,10579.255,Provisional value
2014-07,13273.494,Provisional value
