"",BBFB1.Q.N.DE.NL.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:07,
1991-01,6878.027,
1991-04,6932.534,
1991-07,6843.978,
1991-10,6667.971,
1992-01,6987.805,
1992-04,6494.524,
1992-07,6611.323,
1992-10,6514.202,
1993-01,5860.220,
1993-04,6054.186,
1993-07,5706.664,
1993-10,5931.098,
1994-01,6418.956,
1994-04,6492.323,
1994-07,6647.941,
1994-10,6376.868,
1995-01,7058.092,
1995-04,7135.296,
1995-07,7021.300,
1995-10,7141.940,
1996-01,7617.615,
1996-04,7567.524,
1996-07,7359.217,
1996-10,8052.757,
1997-01,7558.764,
1997-04,7873.228,
1997-07,7961.313,
1997-10,8459.751,
1998-01,8634.342,
1998-04,8577.713,
1998-07,8058.404,
1998-10,8342.342,
1999-01,8149.223,
1999-04,8578.779,
1999-07,8267.307,
1999-10,9006.047,
2000-01,9593.481,
2000-04,9467.047,
2000-07,9141.969,
2000-10,10174.996,
2001-01,10185.614,
2001-04,9783.052,
2001-07,9406.483,
2001-10,9820.484,
2002-01,9629.492,
2002-04,9970.182,
2002-07,9657.856,
2002-10,10708.666,
2003-01,10064.786,
2003-04,9857.758,
2003-07,9811.327,
2003-10,10968.994,
2004-01,10850.107,
2004-04,10893.648,
2004-07,11056.102,
2004-10,12091.523,
2005-01,11924.467,
2005-04,12504.170,
2005-07,11713.668,
2005-10,13984.306,
2006-01,14647.953,
2006-04,14621.960,
2006-07,14029.076,
2006-10,14853.161,
2007-01,15451.780,
2007-04,16339.564,
2007-07,14982.891,
2007-10,15930.235,
2008-01,16026.312,
2008-04,16138.439,
2008-07,16030.852,
2008-10,15023.140,
2009-01,12685.404,
2009-04,12347.936,
2009-07,12306.336,
2009-10,12866.622,
2010-01,14125.308,
2010-04,15281.964,
2010-07,14437.539,
2010-10,15199.286,
2011-01,16415.775,
2011-04,16713.631,
2011-07,15721.499,
2011-10,15725.038,
2012-01,17359.331,
2012-04,16681.008,
2012-07,16120.018,
2012-10,16290.192,
2013-01,16949.550,
2013-04,16670.380,
2013-07,16245.600,
2013-10,16738.125,
2014-01,17756.207,Provisional value
2014-04,16831.189,Provisional value
2014-07,16974.112,Provisional value
