"",BBEX3.M.DKK.USD.CA.AC.A02,BBEX3.M.DKK.USD.CA.AC.A02_FLAGS
"",Exchange rates for the US dollar in Denmark / USD 100 = DKK ... (middle),
unit,DKK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:03,
1972-01,703.20,
1972-02,698.95,
1972-03,696.15,
1972-04,699.22,
1972-05,697.49,
1972-06,695.04,
1972-07,695.92,
1972-08,692.61,
1972-09,690.14,
1972-10,691.20,
1972-11,689.33,
1972-12,684.91,
1973-01,687.78,
1973-02,651.08,
1973-03,617.77,comment
1973-04,621.42,
1973-05,616.42,
1973-06,584.89,
1973-07,553.56,
1973-08,570.67,
1973-09,572.03,
1973-10,565.10,
1973-11,596.87,
1973-12,620.79,
1974-01,665.96,
1974-02,643.26,
1974-03,624.48,
1974-04,604.97,
1974-05,588.33,
1974-06,598.13,
1974-07,593.43,
1974-08,603.91,
1974-09,620.34,
1974-10,603.01,
1974-11,588.79,
1974-12,578.79,
1975-01,561.54,
1975-02,553.84,
1975-03,543.60,
1975-04,551.93,
1975-05,545.95,
1975-06,543.65,
1975-07,571.11,
1975-08,595.99,
1975-09,606.98,
1975-10,602.30,
1975-11,603.15,
1975-12,615.03,
1976-01,615.81,
1976-02,613.84,
1976-03,614.82,
1976-04,604.21,
1976-05,606.07,
1976-06,612.58,
1976-07,616.17,
1976-08,607.68,
1976-09,599.43,
1976-10,589.73,
1976-11,590.37,
1976-12,583.64,
1977-01,588.61,
1977-02,591.74,
1977-03,586.65,
1977-04,597.79,
1977-05,600.60,
1977-06,604.32,
1977-07,596.19,
1977-08,602.45,
1977-09,617.71,
1977-10,611.28,
1977-11,611.93,
1977-12,594.58,
1978-01,577.43,
1978-02,567.42,
1978-03,559.73,
1978-04,560.82,
1978-05,570.00,
1978-06,564.38,
1978-07,560.37,
1978-08,549.86,
1978-09,543.36,
1978-10,512.49,
1978-11,525.50,
1978-12,525.14,
1979-01,512.82,
1979-02,514.71,
1979-03,519.17,
1979-04,527.29,
1979-05,538.92,
1979-06,542.84,
1979-07,524.31,
1979-08,527.19,
1979-09,519.30,
1979-10,523.14,
1979-11,526.22,
1979-12,537.19,
1980-01,538.28,
1980-02,545.30,
1980-03,577.28,
1980-04,582.55,
1980-05,560.37,
1980-06,549.03,
1980-07,541.09,
1980-08,553.61,
1980-09,553.55,
1980-10,566.53,
1980-11,590.03,
1980-12,605.09,
1981-01,617.22,
1981-02,661.71,
1981-03,662.59,
1981-04,679.56,
1981-05,719.68,
1981-06,745.67,
1981-07,764.84,
1981-08,786.05,
1981-09,739.65,
1981-10,722.24,
1981-11,716.68,
1981-12,732.15,
1982-01,748.78,
1982-02,779.15,
1982-03,803.24,
1982-04,814.80,
1982-05,783.51,
1982-06,834.58,
1982-07,853.24,
1982-08,863.15,
1982-09,879.02,
1982-10,891.07,
1982-11,896.10,
1982-12,852.29,
1983-01,840.93,
1983-02,857.43,
1983-03,861.66,
1983-04,865.65,
1983-05,880.57,
1983-06,911.96,
1983-07,929.56,
1983-08,962.70,
1983-09,959.20,
1983-10,941.27,
1983-11,967.36,
1983-12,995.04,
1984-01,1016.44,
1984-02,986.73,
1984-03,951.13,
1984-04,970.41,
1984-05,1006.43,
1984-06,1006.36,
1984-07,1040.93,
1984-08,1052.76,
1984-09,1095.70,
1984-10,1109.48,
1984-11,1080.10,
1984-12,1111.88,
1985-01,1132.08,
1985-02,1178.05,
1985-03,1182.91,
1985-04,1105.96,
1985-05,1118.43,
1985-06,1099.56,
1985-07,1048.29,
1985-08,1009.90,
1985-09,1030.20,
1985-10,959.11,
1985-11,938.47,
1985-12,912.71,
1986-01,895.26,
1986-02,860.79,
1986-03,835.07,
1986-04,838.61,
1986-05,824.68,
1986-06,828.28,
1986-07,805.37,
1986-08,776.43,
1986-09,772.46,
1986-10,755.48,
1986-11,764.31,
1986-12,752.90,
1987-01,705.03,
1987-02,689.57,
1987-03,690.35,
1987-04,682.90,
1987-05,672.07,
1987-06,685.46,
1987-07,700.63,
1987-08,712.33,
1987-09,698.38,
1987-10,692.74,
1987-11,649.02,
1987-12,629.90,
1988-01,634.07,
1988-02,648.93,
1988-03,642.73,
1988-04,642.22,
1988-05,648.60,
1988-06,666.78,
1988-07,700.92,
1988-08,721.90,
1988-09,716.85,
1988-10,701.98,
1988-11,675.10,
1988-12,677.75,
1989-01,708.52,
1989-02,720.36,
1989-03,726.95,
1989-04,727.81,
1989-05,758.74,
1989-06,771.59,
1989-07,735.98,
1989-08,748.63,
1989-09,758.99,
1989-10,727.45,
1989-11,710.76,
1989-12,676.69,
1990-01,656.00,
1990-02,646.77,
1990-03,652.86,
1990-04,644.14,
1990-05,633.81,
1990-06,641.09,
1990-07,624.43,
1990-08,600.62,
1990-09,599.64,
1990-10,581.96,
1990-11,569.80,
1990-12,575.15,
1991-01,581.66,
1991-02,569.27,
1991-03,612.17,
1991-04,651.24,
1991-05,656.03,
1991-06,688.23,
1991-07,691.70,
1991-08,675.20,
1991-09,655.67,
1991-10,652.99,
1991-11,630.59,
1991-12,610.52,
1992-01,611.73,
1992-02,627.83,
1992-03,644.72,
1992-04,638.24,
1992-05,626.48,
1992-06,606.03,
1992-07,573.69,
1992-08,559.81,
1992-09,560.95,
1992-10,571.07,
1992-11,610.83,
1992-12,612.15,
1993-01,623.57,
1993-02,630.53,
1993-03,632.61,
1993-04,612.64,
1993-05,617.58,
1993-06,632.20,
1993-07,664.27,
1993-08,691.79,
1993-09,664.47,
1993-10,662.72,
1993-11,676.84,
1993-12,670.69,
1994-01,677.11,
1994-02,677.31,
1994-03,663.19,
1994-04,666.59,
1994-05,649.08,
1994-06,639.00,
1994-07,616.97,
1994-08,618.56,
1994-09,611.29,
1994-10,595.21,
1994-11,602.28,
1994-12,616.13,
1995-01,603.62,
1995-02,592.84,
1995-03,563.04,
1995-04,542.71,
1995-05,550.05,
1995-06,546.90,
1995-07,541.15,
1995-08,559.94,
1995-09,566.74,
1995-10,549.25,
1995-11,548.86,
1995-12,558.01,
1996-01,565.25,
1996-02,567.21,
1996-03,570.78,
1996-04,581.39,
1996-05,591.64,
1996-06,588.83,
1996-07,580.20,
1996-08,573.00,
1996-09,579.91,
1996-10,585.85,
1996-11,580.40,
1996-12,593.93,
1997-01,611.71,
1997-02,638.25,
1997-03,647.60,
1997-04,651.44,
1997-05,648.62,
1997-06,657.42,
1997-07,682.04,
1997-08,701.77,
1997-09,681.36,
1997-10,669.02,
1997-11,659.45,
1997-12,677.16,
1998-01,691.58,
1998-02,691.32,
1998-03,696.04,
1998-04,691.66,
1998-05,676.46,
1998-06,682.91,
1998-07,685.01,
1998-08,681.08,
1998-09,648.68,
1998-10,622.81,
1998-11,638.96,
1998-12,634.75,
1999-01,640.77,
1999-02,663.45,
1999-03,682.52,
1999-04,694.10,
1999-05,699.14,
1999-06,715.83,
1999-07,718.70,
1999-08,701.27,
1999-09,707.76,
1999-10,693.72,
1999-11,718.71,
1999-12,735.52,
2000-01,733.58,
2000-02,756.23,
2000-03,771.57,
2000-04,785.65,
2000-05,820.97,
2000-06,785.11,
2000-07,793.22,
2000-08,824.04,
2000-09,856.51,
2000-10,870.72,
2000-11,870.68,
2000-12,831.13,
2001-01,795.06,
2001-02,809.49,
2001-03,820.68,
2001-04,835.92,
2001-05,852.52,
2001-06,872.19,
2001-07,865.71,
2001-08,826.77,
2001-09,817.05,
2001-10,820.79,
2001-11,838.10,
2001-12,833.06,
2002-01,841.68,
2002-02,854.00,
2002-03,848.49,
2002-04,839.81,
2002-05,811.31,
2002-06,777.47,
2002-07,748.97,
2002-08,759.62,
2002-09,757.30,
2002-10,757.30,
2002-11,741.82,
2002-12,729.94,
2003-01,699.87,
2003-02,689.86,
2003-03,687.47,
2003-04,684.89,
2003-05,642.66,
2003-06,637.23,
2003-07,653.70,
2003-08,667.44,
2003-09,662.17,
2003-10,635.51,
2003-11,635.69,
2003-12,607.03,
2004-01,590.55,
2004-02,589.25,
2004-03,607.56,
2004-04,621.43,
2004-05,620.24,
2004-06,612.49,
2004-07,606.26,
2004-08,610.81,
2004-09,608.82,
2004-10,595.65,
2004-11,572.11,
2004-12,555.13,
2005-01,567.20,
2005-02,571.96,
2005-03,563.71,
2005-04,576.15,
2005-05,586.97,
2005-06,612.03,
2005-07,619.65,
2005-08,606.87,
2005-09,608.65,
2005-10,621.10,
2005-11,632.99,
2005-12,628.76,
2006-01,616.52,
2006-02,625.24,
2006-03,620.76,
2006-04,607.62,
2006-05,584.53,
2006-06,590.16,
2006-07,588.20,
2006-08,582.38,
2006-09,586.16,
2006-10,591.21,
2006-11,578.93,
2006-12,564.24,
2007-01,573.47,
2007-02,570.16,
2007-03,562.59,
2007-04,551.11,
2007-05,551.24,
2007-06,555.08,
2007-07,542.54,
2007-08,546.40,
2007-09,536.25,
2007-10,523.90,
2007-11,507.70,
2007-12,511.99,
2008-01,506.24,
2008-02,505.49,
2008-03,480.12,
2008-04,473.73,
2008-05,479.42,
2008-06,479.36,
2008-07,473.07,
2008-08,498.34,
2008-09,519.17,
2008-10,560.29,
2008-11,585.07,
2008-12,557.46,
2009-01,563.16,
2009-02,582.88,
2009-03,571.46,
2009-04,565.01,
2009-05,546.99,
2009-06,531.93,
2009-07,528.56,
2009-08,521.75,
2009-09,511.19,
2009-10,502.45,
2009-11,498.97,
2009-12,508.69,
2010-01,521.55,
2010-02,543.98,
2010-03,548.49,
2010-04,555.17,
2010-05,591.90,
2010-06,609.55,
2010-07,583.72,
2010-08,577.90,
2010-09,570.26,
