"",BBFB1.Q.N.DE.B2.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:31,
1991-01,6021.138,
1991-04,6599.964,
1991-07,7157.269,
1991-10,6805.436,
1992-01,6380.986,
1992-04,6808.977,
1992-07,7073.814,
1992-10,7399.267,
1993-01,6502.780,
1993-04,6790.999,
1993-07,7289.208,
1993-10,7286.388,
1994-01,6909.926,
1994-04,6791.761,
1994-07,7281.653,
1994-10,7026.906,
1995-01,7598.586,
1995-04,7378.624,
1995-07,8066.205,
1995-10,8151.051,
1996-01,7607.299,
1996-04,7751.393,
1996-07,8368.704,
1996-10,8417.128,
1997-01,8208.153,
1997-04,8598.494,
1997-07,9425.775,
1997-10,9563.925,
1998-01,9243.621,
1998-04,9745.549,
1998-07,10345.468,
1998-10,10304.029,
1999-01,8859.070,
1999-04,10359.071,
1999-07,11076.595,
1999-10,11265.546,
2000-01,10874.652,
2000-04,11661.911,
2000-07,11713.088,
2000-10,12727.492,
2001-01,11318.780,
2001-04,12311.465,
2001-07,12676.702,
2001-10,13888.292,
2002-01,12662.999,
2002-04,13771.700,
2002-07,14731.081,
2002-10,15721.569,
2003-01,12443.755,
2003-04,13237.891,
2003-07,13573.132,
2003-10,14856.812,
2004-01,13925.016,
2004-04,15340.224,
2004-07,15674.586,
2004-10,16827.122,
2005-01,14354.969,
2005-04,15667.528,
2005-07,16531.987,
2005-10,17945.810,
2006-01,16677.322,
2006-04,18316.552,
2006-07,19138.767,
2006-10,20752.645,
2007-01,17420.512,
2007-04,18599.493,
2007-07,19428.091,
2007-10,20785.684,
2008-01,18562.390,
2008-04,19745.677,
2008-07,20557.438,
2008-10,21935.830,
2009-01,18223.228,
2009-04,18711.740,
2009-07,19647.364,
2009-10,21543.688,
2010-01,17987.722,
2010-04,19508.868,
2010-07,20800.545,
2010-10,21714.107,
2011-01,19191.901,
2011-04,19806.650,
2011-07,21182.432,
2011-10,23045.754,
2012-01,20150.770,
2012-04,20759.451,
2012-07,22005.388,
2012-10,22593.981,
2013-01,19976.989,
2013-04,21162.865,
2013-07,22577.381,
2013-10,24036.944,
2014-01,20727.498,Provisional value
2014-04,21764.595,Provisional value
2014-07,23196.297,Provisional value
