"",BBSF2.M.1.T.00000.GEM01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEM01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Mixed securities funds / Distribution of earnings,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:47,
2009-09,271,
2009-10,240,
2009-11,548,
2009-12,3049,
2010-01,633,
2010-02,267,
2010-03,389,
2010-04,321,
2010-05,310,
2010-06,235,
2010-07,150,
2010-08,121,
2010-09,308,
2010-10,210,
2010-11,651,
2010-12,3161,
2011-01,722,
2011-02,460,
2011-03,516,
2011-04,256,
2011-05,335,
2011-06,391,
2011-07,83,
2011-08,161,
2011-09,343,
2011-10,148,
2011-11,773,
2011-12,2981,
2012-01,406,
2012-02,505,
2012-03,539,
2012-04,238,
2012-05,250,
2012-06,438,
2012-07,182,
2012-08,141,
2012-09,543,
2012-10,173,
2012-11,852,
2012-12,3376,
2013-01,578,
2013-02,508,
2013-03,407,
2013-04,275,
2013-05,332,
2013-06,439,
2013-07,63,
2013-08,245,
2013-09,244,
2013-10,152,
2013-11,756,
2013-12,4175,
2014-01,705,
2014-02,641,
2014-03,493,
2014-04,212,
2014-05,214,
2014-06,601,
2014-07,94,
2014-08,253,
2014-09,344,
2014-10,298,
2014-11,1194,
