"",BBK01.OELL05N,BBK01.OELL05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:08,
2002-01,2.493,
2002-04,2.540,
2002-07,2.571,
2002-10,2.660,
2003-01,2.683,
2003-04,2.658,
2003-07,2.610,
2003-10,2.691,
2004-01,2.718,
2004-04,2.858,
2004-07,2.871,
2004-10,3.051,
2005-01,3.026,
2005-04,3.058,
2005-07,3.040,
2005-10,3.101,
2006-01,3.110,
2006-04,3.159,
2006-07,3.158,
2006-10,3.083,
2007-01,3.096,
2007-04,3.157,
2007-07,3.344,
2007-10,3.434,
2008-01,3.614,
2008-04,3.817,
2008-07,1.579,
2008-10,1.556,
2009-01,1.125,
2009-04,1.552,
2009-07,1.632,
2009-10,1.686,
2010-01,1.700,
2010-04,1.692,
2010-07,1.699,
2010-10,1.806,
2011-01,1.920,
2011-04,2.064,
2011-07,2.084,
2011-10,2.159,
2012-01,2.158,
2012-04,2.157,
2012-07,2.120,
2012-10,2.211,
2013-01,2.179,
2013-04,2.203,
2013-07,2.156,
2013-10,2.217,
2014-01,2.273,
2014-04,2.379,
2014-07,2.393,
