"",BBDE1.M.DE.Y.BAA1.A2P310000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2P310000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Intermediate goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:35,
1991-01,79.6,
1991-02,78.5,
1991-03,78.1,
1991-04,77.8,
1991-05,77.0,
1991-06,79.4,
1991-07,77.8,
1991-08,76.4,
1991-09,76.7,
1991-10,77.7,
1991-11,78.7,
1991-12,79.6,
1992-01,80.1,
1992-02,80.9,
1992-03,79.5,
1992-04,78.8,
1992-05,78.6,
1992-06,77.2,
1992-07,76.4,
1992-08,76.4,
1992-09,75.1,
1992-10,74.5,
1992-11,74.2,
1992-12,73.5,
1993-01,72.7,
1993-02,71.9,
1993-03,71.6,
1993-04,71.5,
1993-05,70.7,
1993-06,71.2,
1993-07,70.3,
1993-08,72.2,
1993-09,72.2,
1993-10,72.5,
1993-11,72.3,
1993-12,72.6,
1994-01,73.7,
1994-02,73.6,
1994-03,74.1,
1994-04,74.8,
1994-05,75.1,
1994-06,75.3,
1994-07,74.7,
1994-08,76.1,
1994-09,77.2,
1994-10,78.3,
1994-11,79.4,
1994-12,81.1,
1995-01,76.7,
1995-02,78.7,
1995-03,77.8,
1995-04,77.8,
1995-05,78.2,
1995-06,77.5,
1995-07,76.7,
1995-08,75.5,
1995-09,77.5,
1995-10,75.4,
1995-11,75.4,
1995-12,74.2,
1996-01,75.0,
1996-02,73.8,
1996-03,74.6,
1996-04,74.6,
1996-05,76.1,
1996-06,75.6,
1996-07,75.5,
1996-08,76.7,
1996-09,77.4,
1996-10,76.6,
1996-11,77.1,
1996-12,77.6,
1997-01,75.9,
1997-02,77.8,
1997-03,78.3,
1997-04,79.3,
1997-05,78.4,
1997-06,80.5,
1997-07,81.7,
1997-08,80.2,
1997-09,80.6,
1997-10,81.8,
1997-11,82.0,
1997-12,82.9,
1998-01,83.5,
1998-02,82.7,
1998-03,83.2,
1998-04,82.2,
1998-05,83.0,
1998-06,82.3,
1998-07,83.3,
1998-08,82.3,
1998-09,81.3,
1998-10,81.2,
1998-11,79.8,
1998-12,79.0,
1999-01,83.4,
1999-02,80.2,
1999-03,81.1,
1999-04,81.6,
1999-05,81.7,
1999-06,82.3,
1999-07,83.2,
1999-08,83.4,
1999-09,84.4,
1999-10,83.9,
1999-11,84.4,
1999-12,85.5,
2000-01,84.1,
2000-02,86.2,
2000-03,85.9,
2000-04,86.1,
2000-05,88.7,
2000-06,86.0,
2000-07,88.1,
2000-08,88.9,
2000-09,88.7,
2000-10,88.8,
2000-11,89.7,
2000-12,90.9,
2001-01,89.6,
2001-02,90.1,
2001-03,89.1,
2001-04,86.7,
2001-05,87.7,
2001-06,87.9,
2001-07,85.6,
2001-08,86.9,
2001-09,86.4,
2001-10,85.4,
2001-11,84.6,
2001-12,84.2,
2002-01,84.5,
2002-02,85.7,
2002-03,86.0,
2002-04,85.9,
2002-05,85.9,
2002-06,86.7,
2002-07,86.5,
2002-08,87.6,
2002-09,87.3,
2002-10,86.7,
2002-11,87.7,
2002-12,86.3,
2003-01,86.4,
2003-02,85.5,
2003-03,87.0,
2003-04,86.4,
2003-05,86.2,
2003-06,86.3,
2003-07,86.9,
2003-08,85.0,
2003-09,85.5,
2003-10,88.2,
2003-11,88.1,
2003-12,88.6,
2004-01,88.9,
2004-02,89.9,
2004-03,88.8,
2004-04,90.2,
2004-05,90.0,
2004-06,90.1,
2004-07,90.7,
2004-08,89.6,
2004-09,90.1,
2004-10,90.6,
2004-11,90.6,
2004-12,90.2,
2005-01,93.4,
2005-02,90.7,
2005-03,90.0,
2005-04,92.1,
2005-05,91.1,
2005-06,91.8,
2005-07,93.3,
2005-08,91.9,
2005-09,92.9,
2005-10,95.6,
2005-11,94.4,
2005-12,94.9,
2006-01,95.5,
2006-02,95.6,
2006-03,94.7,
2006-04,97.8,
2006-05,99.5,
2006-06,99.0,
2006-07,99.8,
2006-08,102.4,
2006-09,101.6,
2006-10,101.4,
2006-11,102.1,
2006-12,105.1,
2007-01,104.5,
2007-02,105.1,
2007-03,105.5,
2007-04,104.6,
2007-05,105.7,
2007-06,106.3,
2007-07,106.3,
2007-08,106.9,
2007-09,107.7,
2007-10,107.4,
2007-11,107.2,
2007-12,109.9,
2008-01,109.3,
2008-02,110.3,
2008-03,110.4,
2008-04,110.1,
2008-05,108.4,
2008-06,108.6,
2008-07,107.4,
2008-08,109.5,
2008-09,105.9,
2008-10,103.6,
2008-11,97.1,
2008-12,90.2,
2009-01,84.4,
2009-02,83.8,
2009-03,82.2,
2009-04,80.6,
2009-05,83.7,
2009-06,85.6,
2009-07,86.1,
