"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.SE.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.SE.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Sweden / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:21,
2009-09,825,
2009-10,818,
2009-11,766,
2009-12,773,
2010-01,730,
2010-02,715,
2010-03,873,
2010-04,935,
2010-05,919,
2010-06,959,
2010-07,921,
2010-08,937,
2010-09,932,
2010-10,934,
2010-11,922,
2010-12,905,
2011-01,891,
2011-02,944,
2011-03,924,
2011-04,910,
2011-05,868,
2011-06,840,
2011-07,823,
2011-08,841,
2011-09,819,
2011-10,780,
2011-11,786,
2011-12,838,
2012-01,907,
2012-02,901,
2012-03,902,
2012-04,866,
2012-05,871,
2012-06,955,
2012-07,1025,
2012-08,941,
2012-09,910,
2012-10,875,
2012-11,890,
2012-12,875,
2013-01,780,
2013-02,720,
2013-03,810,
2013-04,874,
2013-05,879,
2013-06,843,
2013-07,831,
2013-08,826,
2013-09,831,
2013-10,832,
2013-11,827,
2013-12,780,
2014-01,765,
2014-02,801,
2014-03,841,
2014-04,835,
2014-05,769,
2014-06,737,
2014-07,725,
2014-08,729,
2014-09,688,
2014-10,667,
2014-11,673,
