"",BBK01.OEYB07K,BBK01.OEYB07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:58,
2002-01,6.373,
2002-04,6.425,
2002-07,6.477,
2002-10,8.957,
2003-01,9.312,
2003-04,9.844,
2003-07,10.399,
2003-10,10.301,
2004-01,8.794,
2004-04,10.426,
2004-07,10.515,
2004-10,7.708,
2005-01,8.163,
2005-04,7.473,
2005-07,8.004,
2005-10,7.724,
2006-01,7.153,
2006-04,6.839,
2006-07,7.041,
2006-10,6.632,
2007-01,5.624,
2007-04,6.849,
2007-07,7.212,
2007-10,7.482,
2008-01,7.989,
2008-04,8.574,
2008-07,9.597,
2008-10,10.139,
2009-01,10.614,
2009-04,10.414,
2009-07,9.872,
2009-10,8.483,
2010-01,8.451,
2010-04,7.955,
2010-07,8.056,
2010-10,8.331,
2011-01,7.653,
2011-04,7.156,
2011-07,7.790,
2011-10,7.711,
2012-01,7.268,
2012-04,6.825,
2012-07,7.825,
2012-10,7.429,
2013-01,7.481,
2013-04,7.646,
2013-07,7.496,
2013-10,7.411,
2014-01,7.694,
2014-04,7.862,
2014-07,7.973,
