"",BBK01.OEAH13P,BBK01.OEAH13P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:29,
2002-01,1.351,
2002-04,1.347,
2002-07,1.356,
2002-10,1.416,
2003-01,1.381,
2003-04,1.308,
2003-07,1.304,
2003-10,1.236,
2004-01,1.175,
2004-04,1.062,
2004-07,1.022,
2004-10,1.116,
2005-01,1.140,
2005-04,1.078,
2005-07,1.063,
2005-10,1.101,
2006-01,1.150,
2006-04,1.139,
2006-07,1.163,
2006-10,1.150,
2007-01,1.174,
2007-04,1.193,
2007-07,1.257,
2007-10,1.334,
2008-01,1.373,
2008-04,1.350,
2008-07,1.332,
2008-10,1.465,
2009-01,1.456,
2009-04,1.544,
2009-07,1.584,
2009-10,1.686,
2010-01,1.636,
2010-04,1.572,
2010-07,1.487,
2010-10,1.442,
2011-01,1.345,
2011-04,1.252,
2011-07,1.205,
2011-10,1.132,
2012-01,1.075,
2012-04,1.018,
2012-07,0.945,
2012-10,0.830,
2013-01,0.785,
2013-04,0.701,
2013-07,0.639,
2013-10,0.628,
2014-01,0.578,
2014-04,0.590,
2014-07,0.637,
