"",BBK01.OEYK01K,BBK01.OEYK01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:44,
2002-01,0.381,
2002-04,0.345,
2002-07,0.360,
2002-10,0.376,
2003-01,0.351,
2003-04,0.356,
2003-07,0.219,
2003-10,0.192,
2004-01,0.305,
2004-04,0.509,
2004-07,0.490,
2004-10,0.366,
2005-01,0.407,
2005-04,0.483,
2005-07,0.480,
2005-10,0.495,
2006-01,0.501,
2006-04,0.534,
2006-07,0.509,
2006-10,0.488,
2007-01,0.475,
2007-04,0.564,
2007-07,0.456,
2007-10,0.457,
2008-01,0.450,
2008-04,0.474,
2008-07,0.386,
2008-10,0.379,
2009-01,0.407,
2009-04,0.506,
2009-07,0.520,
2009-10,0.502,
2010-01,0.464,
2010-04,0.539,
2010-07,0.563,
2010-10,0.487,
2011-01,0.450,
2011-04,0.490,
2011-07,0.391,
2011-10,0.402,
2012-01,0.340,
2012-04,0.413,
2012-07,0.424,
2012-10,0.403,
2013-01,0.420,
2013-04,0.418,
2013-07,0.433,
2013-10,0.423,
2014-01,0.427,
2014-04,0.468,
2014-07,0.451,
