"",BBK01.OEAC15M,BBK01.OEAC15M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:11,
2002-01,7.283,
2002-04,7.276,
2002-07,7.197,
2002-10,7.097,
2003-01,7.570,
2003-04,7.519,
2003-07,7.488,
2003-10,7.299,
2004-01,7.271,
2004-04,7.225,
2004-07,7.166,
2004-10,6.947,
2005-01,6.974,
2005-04,6.880,
2005-07,6.880,
2005-10,6.783,
2006-01,6.851,
2006-04,6.806,
2006-07,6.745,
2006-10,6.566,
2007-01,6.457,
2007-04,6.464,
2007-07,6.455,
2007-10,6.330,
2008-01,6.378,
2008-04,6.428,
2008-07,6.420,
2008-10,6.366,
2009-01,6.387,
2009-04,6.358,
2009-07,6.283,
2009-10,6.168,
2010-01,6.152,
2010-04,6.223,
2010-07,6.350,
2010-10,6.141,
2011-01,6.189,
2011-04,6.126,
2011-07,6.135,
2011-10,5.964,
2012-01,6.068,
2012-04,6.060,
2012-07,6.071,
2012-10,5.952,
2013-01,6.005,
2013-04,6.004,
2013-07,6.029,
2013-10,5.924,
2014-01,5.785,
2014-04,5.824,
2014-07,5.787,
