"",BBK01.OEAE27M,BBK01.OEAE27M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:29,
2002-01,1.269,
2002-04,1.344,
2002-07,1.423,
2002-10,1.379,
2003-01,1.516,
2003-04,1.479,
2003-07,1.473,
2003-10,1.521,
2004-01,1.478,
2004-04,1.477,
2004-07,1.490,
2004-10,1.375,
2005-01,1.369,
2005-04,1.377,
2005-07,1.190,
2005-10,1.165,
2006-01,1.115,
2006-04,1.095,
2006-07,1.088,
2006-10,1.017,
2007-01,1.024,
2007-04,0.974,
2007-07,1.002,
2007-10,1.029,
2008-01,0.959,
2008-04,0.966,
2008-07,0.916,
2008-10,0.871,
2009-01,0.845,
2009-04,0.876,
2009-07,0.849,
2009-10,0.866,
2010-01,0.454,
2010-04,0.652,
2010-07,0.685,
2010-10,0.992,
2011-01,0.943,
2011-04,0.939,
2011-07,0.942,
2011-10,0.980,
2012-01,1.001,
2012-04,1.038,
2012-07,1.037,
2012-10,1.048,
2013-01,0.933,
2013-04,0.978,
2013-07,0.954,
2013-10,0.991,
2014-01,0.979,
2014-04,0.878,
2014-07,0.902,
