"",BBK01.OEBB24U,BBK01.OEBB24U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:09,
2002-01,1.084,
2002-04,1.119,
2002-07,1.129,
2002-10,1.158,
2003-01,1.162,
2003-04,1.192,
2003-07,1.231,
2003-10,1.255,
2004-01,1.262,
2004-04,1.299,
2004-07,1.292,
2004-10,1.257,
2005-01,1.435,
2005-04,1.428,
2005-07,1.388,
2005-10,1.438,
2006-01,1.469,
2006-04,1.435,
2006-07,1.434,
2006-10,1.416,
2007-01,1.381,
2007-04,1.367,
2007-07,1.350,
2007-10,1.356,
2008-01,1.333,
2008-04,1.310,
2008-07,1.298,
2008-10,1.254,
2009-01,1.232,
2009-04,1.197,
2009-07,1.168,
2009-10,1.091,
2010-01,1.053,
2010-04,1.006,
2010-07,1.034,
2010-10,1.021,
2011-01,0.958,
2011-04,0.954,
2011-07,0.938,
2011-10,0.900,
2012-01,0.879,
2012-04,0.844,
2012-07,0.823,
2012-10,0.791,
2013-01,1.061,
2013-04,1.045,
2013-07,1.022,
2013-10,1.018,
2014-01,1.018,
2014-04,1.011,
2014-07,1.018,
