"",BBK01.OEXL01G,BBK01.OEXL01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:46,
2002-01,52.016,
2002-04,52.587,
2002-07,52.432,
2002-10,56.538,
2003-01,59.582,
2003-04,60.768,
2003-07,61.364,
2003-10,63.943,
2004-01,65.091,
2004-04,65.499,
2004-07,65.379,
2004-10,67.590,
2005-01,12.825,
2005-04,13.060,
2005-07,10.019,
2005-10,10.085,
2006-01,9.976,
2006-04,10.157,
2006-07,9.870,
2006-10,10.075,
2007-01,10.851,
2007-04,11.298,
2007-07,11.604,
2007-10,12.338,
2008-01,13.545,
2008-04,13.954,
2008-07,14.296,
2008-10,15.890,
2009-01,21.067,
2009-04,22.659,
2009-07,21.843,
2009-10,21.637,
2010-01,20.122,
2010-04,19.860,
2010-07,19.812,
2010-10,20.516,
2011-01,20.655,
2011-04,20.831,
2011-07,21.291,
2011-10,21.437,
2012-01,21.022,
2012-04,21.812,
2012-07,21.902,
2012-10,22.396,
2013-01,22.588,
2013-04,21.860,
2013-07,21.289,
2013-10,21.146,
2014-01,21.314,
2014-04,21.494,
2014-07,21.520,
