"",BBSF2.M.1.P.00000.IMM01.I.F.DGG.U201.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.DGG.U201.00000.000000.Z01.00_FLAGS
"","Public funds / Real estate funds / Loans granted to real estate companies / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:36,
2009-09,2492,
2009-10,2432,
2009-11,2543,
2009-12,2517,
2010-01,2518,
2010-02,2387,
2010-03,2426,
2010-04,2468,
2010-05,2464,
2010-06,2394,
2010-07,2528,
2010-08,2618,
2010-09,2553,
2010-10,2564,
2010-11,2538,
2010-12,2560,
2011-01,2615,
2011-02,2637,
2011-03,2646,
2011-04,2619,
2011-05,2626,
2011-06,2639,
2011-07,2659,
2011-08,2639,
2011-09,2620,
2011-10,2630,
2011-11,2425,
2011-12,2553,
2012-01,2674,
2012-02,2685,
2012-03,2645,
2012-04,2554,
2012-05,2600,
2012-06,2604,
2012-07,2690,
2012-08,2689,
2012-09,2746,
2012-10,2791,
2012-11,2812,
2012-12,2896,
2013-01,2880,
2013-02,2915,
2013-03,2975,
2013-04,2882,
2013-05,2945,
2013-06,3162,
2013-07,3144,
2013-08,3104,
2013-09,2975,
2013-10,2980,
2013-11,3015,
2013-12,2960,
2014-01,3135,
2014-02,3234,
2014-03,3209,
2014-04,3192,
2014-05,3154,
2014-06,3141,
2014-07,3162,
2014-08,3157,
2014-09,3161,
2014-10,3120,
2014-11,3110,
