"",BBFB1.M.N.DE.W1.S121.S1.T.L.FA.O.F2.T._T.N.N,BBFB1.M.N.DE.W1.S121.S1.T.L.FA.O.F2.T._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Currency and deposits / Bundesbank / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:14,
1991-01,217.542,
1991-02,-1546.086,
1991-03,509.732,
1991-04,124.667,
1991-05,154.320,
1991-06,-1813.315,
1991-07,-286.947,
1991-08,-588.822,
1991-09,-374.054,
1991-10,-12.620,
1991-11,-1138.740,
1991-12,-207.737,
1992-01,-401.108,
1992-02,264.959,
1992-03,-1084.586,
1992-04,43.126,
1992-05,-2020.842,
1992-06,-652.861,
1992-07,-520.588,
1992-08,755.211,
1992-09,-2620.897,
1992-10,-449.596,
1992-11,-426.635,
1992-12,-452.583,
1993-01,21.301,
1993-02,342.759,
1993-03,-366.446,
1993-04,80.935,
1993-05,-18.309,
1993-06,158.105,
1993-07,-531.572,
1993-08,186.614,
1993-09,-366.921,
1993-10,-200.564,
1993-11,48.699,
1993-12,-713.940,
1994-01,-32.574,
1994-02,121.068,
1994-03,-465.867,
1994-04,122.907,
1994-05,-894.956,
1994-06,-1180.390,
1994-07,-354.735,
1994-08,-14.129,
1994-09,113.406,
1994-10,162.288,
1994-11,236.531,
1994-12,396.615,
1995-01,-193.142,
1995-02,87.752,
1995-03,-266.628,
1995-04,-855.514,
1995-05,-199.261,
1995-06,-365.858,
1995-07,350.299,
1995-08,-479.350,
1995-09,-48.449,
1995-10,102.652,
1995-11,15.437,
1995-12,-62.315,
1996-01,48.596,
1996-02,121.176,
1996-03,-52.070,
1996-04,27.546,
1996-05,-38.926,
1996-06,35.830,
1996-07,-233.164,
1996-08,83.212,
1996-09,-442.380,
1996-10,78.089,
1996-11,-248.775,
1996-12,-285.884,
1997-01,48.771,
1997-02,-16.449,
1997-03,-474.717,
1997-04,-2.590,
1997-05,6.852,
1997-06,43.803,
1997-07,-22.177,
1997-08,27.799,
1997-09,28.813,
1997-10,60.377,
1997-11,-26.160,
1997-12,-3.098,
1998-01,12.574,
1998-02,14.320,
1998-03,-63.139,
1998-04,-23.146,
1998-05,-62.784,
1998-06,28.991,
1998-07,6.150,
1998-08,201.537,
1998-09,-157.594,
1998-10,26.916,
1998-11,-2690.783,
1998-12,4541.565,
1999-01,-414.692,
1999-02,-723.917,
1999-03,-541.442,
1999-04,-174.264,
1999-05,-43.611,
1999-06,-37.695,
1999-07,-253.820,
1999-08,241.904,
1999-09,-31.113,
1999-10,-8.019,
1999-11,-57.184,
1999-12,53.095,
2000-01,4.731,
2000-02,233.152,
2000-03,-272.140,
2000-04,53.332,
2000-05,-82.986,
2000-06,104.417,
2000-07,68.650,
2000-08,-120.352,
2000-09,379.118,
2000-10,53.009,
2000-11,52.761,
2000-12,-60.116,
2001-01,91.021,
2001-02,22.098,
2001-03,64.217,
2001-04,-84.505,
2001-05,130.701,
2001-06,24.243,
2001-07,164.834,
2001-08,-145.175,
2001-09,2335.124,
2001-10,2121.844,
2001-11,259.690,
2001-12,-2353.291,
2002-01,1620.008,
2002-02,-91.708,
2002-03,-247.285,
2002-04,-698.662,
2002-05,-765.421,
2002-06,916.504,
2002-07,899.722,
2002-08,-718.693,
2002-09,546.727,
2002-10,-493.140,
2002-11,806.062,
2002-12,-1121.424,
2003-01,982.427,
2003-02,-238.494,
2003-03,953.314,
2003-04,-1431.968,
2003-05,832.326,
2003-06,628.069,
2003-07,-198.344,
2003-08,573.932,
2003-09,42.441,
2003-10,433.094,
2003-11,-687.801,
2003-12,93.558,
2004-01,13.593,
2004-02,-427.493,
2004-03,-587.919,
2004-04,80.444,
2004-05,-1096.916,
2004-06,451.996,
2004-07,-488.922,
2004-08,-777.410,
2004-09,-87.379,
2004-10,-458.720,
2004-11,-123.683,
2004-12,1051.201,
2005-01,-1729.844,
2005-02,-738.770,
2005-03,699.509,
2005-04,-202.871,
2005-05,40.938,
2005-06,-528.372,
2005-07,665.802,
2005-08,-1002.513,
2005-09,2082.699,
2005-10,-221.749,
2005-11,-1045.972,
2005-12,-123.585,
2006-01,100.278,
2006-02,-700.760,
2006-03,663.903,
2006-04,-1606.375,
2006-05,1479.737,
2006-06,-260.435,
2006-07,358.125,
2006-08,-795.472,
2006-09,-412.292,
2006-10,75.119,
2006-11,263.423,
2006-12,-452.424,
2007-01,569.083,
2007-02,-490.564,
2007-03,276.794,
2007-04,1165.436,
2007-05,675.595,
2007-06,-861.624,
2007-07,221.450,
2007-08,-68.337,
2007-09,1806.487,
2007-10,2182.556,
2007-11,2952.842,
2007-12,2918.827,
2008-01,5055.109,
2008-02,1417.088,
2008-03,2661.198,
2008-04,597.756,
2008-05,-1127.540,
2008-06,-876.402,
2008-07,1578.015,
2008-08,1354.606,
2008-09,40.035,
2008-10,10698.669,
2008-11,-4870.979,
2008-12,-2176.696,
2009-01,-9764.220,
2009-02,-5124.994,
2009-03,-8549.524,
2009-04,1009.145,
2009-05,657.137,
2009-06,950.769,
2009-07,-2220.464,
2009-08,1089.738,
2009-09,-318.169,
2009-10,397.155,
2009-11,239.571,
2009-12,-147.758,
2010-01,927.625,
2010-02,-495.501,
2010-03,-154.949,
2010-04,2406.318,
2010-05,1180.021,
2010-06,-1802.700,
2010-07,357.682,
2010-08,-648.642,
2010-09,120.788,
2010-10,1744.499,
2010-11,-1464.406,
2010-12,3347.404,
2011-01,-896.123,
2011-02,-1623.038,
2011-03,1477.393,
2011-04,-1542.934,
2011-05,-446.313,
2011-06,-864.612,
2011-07,1370.817,
2011-08,3307.730,
2011-09,-1576.667,
2011-10,-649.944,
2011-11,361.727,
2011-12,33034.071,
2012-01,-34616.115,
2012-02,1527.756,
2012-03,4104.182,
2012-04,-2251.246,
2012-05,38616.942,
2012-06,30935.081,
2012-07,16791.890,
2012-08,-178.311,
2012-09,-5736.379,
2012-10,28031.119,
2012-11,-11598.183,
2012-12,-5690.715,
2013-01,-2588.237,
2013-02,-7621.040,
2013-03,-15973.861,
2013-04,14153.312,
2013-05,-11705.118,
2013-06,-13635.348,
2013-07,1964.304,
