"",BBK01.OEAD09V,BBK01.OEAD09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:56,
2002-01,0.229,
2002-04,0.237,
2002-07,0.242,
2002-10,0.227,
2003-01,0.223,
2003-04,0.205,
2003-07,0.211,
2003-10,0.210,
2004-01,0.209,
2004-04,0.204,
2004-07,0.200,
2004-10,0.193,
2005-01,0.192,
2005-04,0.182,
2005-07,0.174,
2005-10,0.170,
2006-01,0.168,
2006-04,0.165,
2006-07,0.148,
2006-10,0.140,
2007-01,0.136,
2007-04,0.125,
2007-07,0.123,
2007-10,0.122,
2008-01,0.121,
2008-04,0.108,
2008-07,0.113,
2008-10,0.106,
2009-01,0.103,
2009-04,0.107,
2009-07,0.106,
2009-10,0.099,
2010-01,0.105,
2010-04,0.105,
2010-07,0.101,
2010-10,0.104,
2011-01,0.115,
2011-04,0.117,
2011-07,0.116,
2011-10,0.117,
2012-01,0.115,
2012-04,0.110,
2012-07,0.109,
2012-10,0.115,
2013-01,0.117,
2013-04,0.116,
2013-07,0.114,
2013-10,0.108,
2014-01,0.110,
2014-04,0.108,
2014-07,0.112,
