"",BBK01.OEXL04Q,BBK01.OEXL04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:09,
2002-01,0.598,
2002-04,0.599,
2002-07,0.644,
2002-10,0.589,
2003-01,0.552,
2003-04,0.538,
2003-07,0.511,
2003-10,0.684,
2004-01,0.720,
2004-04,0.704,
2004-07,1.006,
2004-10,0.680,
2005-01,0.585,
2005-04,0.584,
2005-07,0.638,
2005-10,0.734,
2006-01,0.973,
2006-04,1.138,
2006-07,1.378,
2006-10,1.487,
2007-01,1.483,
2007-04,1.552,
2007-07,1.595,
2007-10,1.777,
2008-01,1.932,
2008-04,1.999,
2008-07,2.173,
2008-10,2.010,
2009-01,1.431,
2009-04,1.064,
2009-07,0.884,
2009-10,0.588,
2010-01,0.502,
2010-04,0.471,
2010-07,0.425,
2010-10,0.416,
2011-01,0.394,
2011-04,0.377,
2011-07,0.391,
2011-10,0.403,
2012-01,0.394,
2012-04,0.351,
2012-07,0.333,
2012-10,0.349,
2013-01,0.352,
2013-04,0.367,
2013-07,0.384,
2013-10,0.428,
2014-01,0.421,
2014-04,0.420,
2014-07,0.411,
