"",BBK01.OEAE13G,BBK01.OEAE13G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:52,
2002-01,3.078,
2002-04,2.745,
2002-07,2.887,
2002-10,3.322,
2003-01,2.722,
2003-04,2.593,
2003-07,2.518,
2003-10,2.462,
2004-01,2.486,
2004-04,2.595,
2004-07,2.683,
2004-10,2.727,
2005-01,2.487,
2005-04,2.570,
2005-07,2.417,
2005-10,2.581,
2006-01,2.574,
2006-04,2.690,
2006-07,2.602,
2006-10,2.613,
2007-01,2.507,
2007-04,2.461,
2007-07,2.062,
2007-10,2.119,
2008-01,2.126,
2008-04,2.244,
2008-07,2.444,
2008-10,2.138,
2009-01,1.893,
2009-04,1.924,
2009-07,2.044,
2009-10,1.976,
2010-01,1.598,
2010-04,1.626,
2010-07,1.621,
2010-10,1.726,
2011-01,1.693,
2011-04,1.676,
2011-07,1.682,
2011-10,1.757,
2012-01,1.805,
2012-04,1.793,
2012-07,1.844,
2012-10,1.875,
2013-01,1.811,
2013-04,1.846,
2013-07,1.545,
2013-10,1.543,
2014-01,1.537,
2014-04,1.519,
2014-07,1.553,
