"",BBK01.OEAD36U,BBK01.OEAD36U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:50,
2002-01,0.171,
2002-04,0.172,
2002-07,0.177,
2002-10,0.189,
2003-01,0.195,
2003-04,0.191,
2003-07,0.194,
2003-10,0.201,
2004-01,0.212,
2004-04,0.214,
2004-07,0.205,
2004-10,0.207,
2005-01,0.199,
2005-04,0.195,
2005-07,0.189,
2005-10,0.168,
2006-01,0.161,
2006-04,0.158,
2006-07,0.157,
2006-10,0.159,
2007-01,0.159,
2007-04,0.155,
2007-07,0.149,
2007-10,0.150,
2008-01,0.147,
2008-04,0.157,
2008-07,0.165,
2008-10,0.175,
2009-01,0.173,
2009-04,0.177,
2009-07,0.164,
2009-10,0.152,
2010-01,0.163,
2010-04,0.157,
2010-07,0.150,
2010-10,0.166,
2011-01,0.164,
2011-04,0.165,
2011-07,0.169,
2011-10,0.170,
2012-01,0.163,
2012-04,0.160,
2012-07,0.158,
2012-10,0.157,
2013-01,0.156,
2013-04,0.162,
2013-07,0.164,
2013-10,0.162,
2014-01,0.154,
2014-04,0.163,
2014-07,0.207,
