"",BBK01.OEAB09S,BBK01.OEAB09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:31,
2002-01,7.712,
2002-04,7.647,
2002-07,7.553,
2002-10,7.409,
2003-01,7.263,
2003-04,7.310,
2003-07,7.251,
2003-10,7.167,
2004-01,7.148,
2004-04,7.149,
2004-07,7.143,
2004-10,5.617,
2005-01,5.685,
2005-04,5.699,
2005-07,5.654,
2005-10,5.649,
2006-01,5.666,
2006-04,5.743,
2006-07,5.766,
2006-10,5.716,
2007-01,5.799,
2007-04,5.780,
2007-07,5.897,
2007-10,6.016,
2008-01,6.067,
2008-04,6.131,
2008-07,6.206,
2008-10,6.313,
2009-01,6.431,
2009-04,6.568,
2009-07,6.750,
2009-10,6.998,
2010-01,7.043,
2010-04,7.153,
2010-07,7.303,
2010-10,7.555,
2011-01,7.633,
2011-04,7.971,
2011-07,8.109,
2011-10,8.550,
2012-01,8.728,
2012-04,9.012,
2012-07,9.225,
2012-10,9.331,
2013-01,9.437,
2013-04,9.571,
2013-07,9.694,
2013-10,9.780,
2014-01,9.809,
2014-04,9.827,
2014-07,9.949,
