"",BBK01.DQ7834,BBK01.DQ7834_FLAGS
"","Pay rates, production sector (incl. construction), excluding ancillary benefits, excluding one-off payments, on a monthly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:19,
1991-01,52.0,
1991-04,54.5,
1991-07,56.1,
1991-10,56.6,
1992-01,57.2,
1992-04,62.1,
1992-07,62.8,
1992-10,63.1,
1993-01,63.5,
1993-04,65.5,
1993-07,66.3,
1993-10,66.6,
1994-01,66.8,
1994-04,67.5,
1994-07,68.6,
1994-10,68.9,
1995-01,69.3,
1995-04,71.0,
1995-07,71.9,
1995-10,72.7,
1996-01,73.2,
1996-04,73.6,
1996-07,74.0,
1996-10,74.4,
1997-01,74.7,
1997-04,75.2,
1997-07,75.3,
1997-10,75.5,
1998-01,75.6,
1998-04,76.7,
1998-07,76.9,
1998-10,77.0,
1999-01,77.7,
1999-04,78.9,
1999-07,79.4,
1999-10,79.5,
2000-01,79.6,
2000-04,80.4,
2000-07,81.1,
2000-10,81.3,
2001-01,81.4,
2001-04,82.0,
2001-07,82.6,
2001-10,82.7,
2002-01,82.8,
2002-04,83.4,
2002-07,84.4,
2002-10,84.9,
2003-01,85.1,
2003-04,85.7,
2003-07,86.6,
2003-10,86.7,
2004-01,87.1,
2004-04,87.5,
2004-07,87.7,
2004-10,87.7,
2005-01,88.1,
2005-04,88.7,
2005-07,88.9,
2005-10,89.0,
2006-01,89.0,
2006-04,89.7,
2006-07,90.5,
2006-10,90.6,
2007-01,90.9,
2007-04,92.0,
2007-07,93.7,
2007-10,93.8,
2008-01,94.0,
2008-04,95.0,
2008-07,96.0,
2008-10,96.2,
2009-01,96.9,
2009-04,98.3,
2009-07,99.2,
2009-10,99.3,
2010-01,99.6,
2010-04,100.0,
2010-07,100.1,
2010-10,100.3,
2011-01,100.4,
2011-04,102.2,
2011-07,102.7,
2011-10,103.1,
2012-01,103.3,
2012-04,104.9,
2012-07,106.4,
2012-10,106.8,
2013-01,107.0,
2013-04,107.7,
2013-07,110.0,
2013-10,110.1,
2014-01,110.6,
2014-04,111.9,
2014-07,113.0,
2014-10,113.2,
