"",BBK01.CEFE01,BBK01.CEFE01_FLAGS
"",short-term loans                                              debtor: Total           creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:50,
1999-01,133.3,
1999-04,136.6,
1999-07,145.4,
1999-10,143.4,
2000-01,140.4,
2000-04,145.6,
2000-07,138.6,
2000-10,158.2,
2001-01,178.3,
2001-04,179.1,
2001-07,178.2,
2001-10,185.6,
2002-01,197.7,
2002-04,194.7,
2002-07,201.3,
2002-10,196.8,
2003-01,202.1,
2003-04,199.1,
2003-07,199.1,
2003-10,194.5,
2004-01,197.1,
2004-04,196.9,
2004-07,201.9,
2004-10,196.1,
2005-01,204.2,
2005-04,214.5,
2005-07,217.7,
2005-10,218.3,
2006-01,223.8,
2006-04,229.3,
2006-07,229.6,
2006-10,231.0,
2007-01,233.8,
2007-04,234.8,
2007-07,238.7,
2007-10,249.1,
2008-01,250.8,
2008-04,261.8,
2008-07,268.6,
2008-10,265.3,
2009-01,269.2,
2009-04,276.6,
2009-07,262.9,
2009-10,244.9,
2010-01,243.7,
2010-04,256.2,
2010-07,251.2,
2010-10,253.1,
2011-01,262.6,
2011-04,259.3,
2011-07,269.5,
2011-10,271.2,
2012-01,276.0,
2012-04,288.6,
2012-07,285.7,
2012-10,281.5,
2013-01,288.5,
2013-04,287.9,
2013-07,292.4,
2013-10,291.7,
2014-01,304.0,
2014-04,307.9,
2014-07,324.9,
